Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,cvid,valid,generated_feedback
Now careful bc if you get under the fascia of psoas youre gonna bleed,15:52:20,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c8_s0_0-20-1.avi,True,"Instrument: grasper, Action: retract, Tissue: peritoneum"
"Press it on, press down on it on the tissue around it.",17:59:26,12,,,,traction_retract,traction_retract,True,,,,c12_s0_2-12-57.avi,True,Advance the needle driver smoothly through the tissue for precise suturing.
"Press, there you go.",17:59:30,12,,,,traction_retract,traction_retract,True,,,,c12_s0_2-13-1.avi,True,Continue suturing the tissue with precise tension.
Right off the nerve,09:38:49,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_1-4-36.avi,True,Advance the instrument carefully to dissect the tissue precisely.
See once you do that how the vein just pushes down...if youre on the plane thats right on top of the vein thats where you want to be,15:56:30,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-48-44.avi,True,Advance the instrument carefully to dissect the tissue.
So things to work on while you're doing this is it's just simple...Minor adjustments to rock your needle back.,17:49:11,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-2-42.avi,True,Ensure precise suture placement and maintain tension on the tissue.
Still too much mucosa.,17:46:33,12,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c12_s0_2-0-4.avi,True,Ensure precise suture placement and maintain tension on the tissue.
Stop and look at your needle...Stop and look at it.,17:54:46,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-8-17.avi,True,Ensure precise needle placement and maintain tension on the suture line.
Sweep sweep it down.,16:01:33,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c12_s0_0-15-4.avi,True,"instrument: grasper, action: retract, tissue: fibrous band"
The type of bleeding youre gonna run into when you get down there are...which is super annoying so its better to identify them and buzz them,15:57:52,32,,,,coagulate,coagulate,True,,,,c32_s0_0-50-6.avi,True,"Continue with precise dissection, maintaining clear visualization of the surgical field."
"Then we're going to not change the position, extract in this position, then close it, and then we'll take another look inside.",16:59:39,8,,,,inspect,inspect,True,,,,c8_s0_1-27-20.avi,True,Grasp the tissue gently and maintain steady traction.
VAS and sems are up,12:04:54,28,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c28_s0_2-0-10.avi,True,Maintain gentle traction on the tissue for optimal exposure.
"What is going on, where did this needle come from?",18:19:10,14,suturing_tools,suturing_tools,True,,,,,,,c14_s0_3-19-14.avi,True,Ensure precise suture placement and maintain tension on the tissue.
Why is there a third needle?,18:19:21,14,suturing_tools,suturing_tools,True,,,,,,,c14_s0_3-19-25.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: NaN"
a little buzz and push,09:24:53,24,,,,coagulate,coagulate,True,,,,c24_s0_0-20-23.avi,True,Maintain gentle traction and ensure clear visualization of the tissue plane.
a little closer to the gland,15:07:19,18,None,None,True,,,,,,,c18_s0_0-35-14.avi,True,"Instrument: Monopolar Curved Scissors, Action: Dissect, Tissue: Fibrotic Tissue"
"adjust your fourth arm, and pull to retract",09:09:30,17,auxiliary_arm,auxiliary_arm,True,,,,,,,c17_s0_0-13-2.avi,True,"Instrument: Prograsp forceps, Action: Retract, Tissue: Adipose tissue"
"again if you need to do a sharp turn grab the needle closer, and you're going to run out of the needle you can always let go.",17:01:30,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-55-22.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: NaN"
"again, see how far away your left hand is to the action. too far away right?",14:47:50,22,hand_control,hand_control,True,,,,,,,c22_s0_0-41-42.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Adipose"
"ahh, , that's too thin of a bite, pull that out that's too thin and you were not turning your wrist as you were taking it out",11:00:00,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c21_s0_2-14-47.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Ureter"
all of these come down this..your arterys here and your veins here,15:57:08,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-49-22.avi,True,Advance the instrument carefully to dissect the tissue.
"all the way down and in and that will allow you when you clip ureter, youre gonna move the kidney UP completely",15:42:04,10,,,,,,,urinary_tract,urinary_tract,True,c10_s0_1-31-26.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Dissecting, Tissue: Peritoneal Layer"
"alright a little bit sloppy, you're cutting onto the clip itself",14:51:44,22,clip_device,clip_device,True,,,,,,,c22_s0_0-45-36.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Grasping, Tissue: Adipose"
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,09:13:59,1,,,,,,,prostate,prostate,True,c1_s0_0-36-34.avi,True,Dissect carefully along the tissue plane to maintain clear visualization.
"alright, I think you are almost done there",10:37:45,1,energy_device,energy_device,True,,,,,,,c1_s0_2-0-20.avi,True,"instrument: suction irrigator, action: suctioning, tissue: surrounding tissue"
"alright, do you remember how I hold the SV's up?",09:50:19,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-12-54.avi,True,"Instrument: Grasper, Action: Retract, Tissue: NaN"
always inspect the prostate so we have plenty of tissue on the right side and less on the left,15:28:50,3,,,,,,,urinary_tract,urinary_tract,True,c3_s0_1-23-47.avi,True,Maintain gentle traction on the tissue for better visualization.
and buzz right above the vein...dont buzz the vein but,15:57:41,32,energy_device,energy_device,True,coagulate,coagulate,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-49-55.avi,True,Dissect carefully to expose the tissue plane.
and im not a real big fan of you grabbing your needle and taking it off screen okay?,10:26:08,16,suturing_tools,suturing_tools,True,,,,,,,c16_s0_1-31-12.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Bladder Neck"
and on the bladder we travel a little bit more,18:58:13,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-9-13.avi,True,Advance the needle driver carefully through the tissue.
"and open up the space, open it up",09:19:35,33,,,,open_spread,open_spread,True,,,,c33_s0_0-45-22.avi,True,"Instrument: Maryland Bipolar, Action: Dissecting, Tissue: Peritoneum"
"and then on the anterior bladder neck, take care of that",09:20:51,1,,,,,,,urinary_tract,urinary_tract,True,c1_s0_0-43-26.avi,True,Maintain steady retraction and ensure clear visualization of the surgical field.
and then turn here,19:09:24,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-20-24.avi,True,Maintain steady instrument control and ensure clear visualization of the tissue.
and very little mucosa you could take just the edge,15:48:51,3,,,,grip_hold,grip_hold,True,,,,c3_s0_1-43-48.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
"and whenever it's not well-defined, come back to the lateral side where it's better-defined... especially towards the...",14:16:15,2,,,,navigate_position,navigate_position,True,,,,c2_s0_0-16-29.avi,True,Ensure precise instrument positioning and maintain clear visualization of the surgical field.
any leaks? anything from the hole that you made?,10:24:03,16,,,,,,,None,None,True,c16_s0_1-29-7.avi,True,"Instrument: Large Needle Driver, Action: Suture, Tissue: Bladder Neck"
are you sure you're not too far from the prostate?,14:21:26,4,,,,,,,prostate,prostate,True,c4_s1_0-8-40.avi,True,"Instrument: bipolar forceps, Action: coagulating, Tissue: bleeding vessel."
as you progress you can include the sac and bring the sac up,08:51:03,19,,,,,,,miscellaneous,miscellaneous,True,c19_s0_0-37-17.avi,True,Continue suturing the mesh securely to the tissue.
back up with your camera,14:34:07,18,,,,navigate_position,navigate_position,True,,,,c18_s0_0-2-2.avi,True,"Instrument: Monopolar Curved Scissors, Action: Dissect, Tissue: Peritoneum"
be careful dont get into the prostate,17:04:06,13,,,,,,,prostate,prostate,True,c13_s0_1-39-32.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"be careful what you grab, it's a nephrectomy so it's very fragile",09:33:41,24,auxiliary_arm,auxiliary_arm,True,,,,,,,c24_s0_0-29-11.avi,True,Maintain gentle traction on the tissue for better visualization.
be gentle dont poke the tumor,16:46:01,8,,,,ensure_safety,ensure_safety,True,miscellaneous,miscellaneous,True,c8_s0_1-13-42.avi,True,"Instrument: Grasper, Action: Dissect, Tissue: Adipose"
because if youre not on the adenoma you run risk,16:03:16,12,,,,,,,miscellaneous,miscellaneous,True,c12_s0_0-16-47.avi,True,Ensure precise instrument alignment for optimal tissue manipulation.
"because it's very easy to deviate from the surface of the adenoma and end up getting through the capsule, and you know that's just really annoying... and you don't want to be annoying",14:04:51,2,,,,,,,miscellaneous,miscellaneous,True,c2_s0_0-5-5.avi,True,"Instrument: grasper, action: retract, tissue: peritoneum"
because you are wasting too much urethra real estate,18:58:46,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-9-46.avi,True,Adjust your grip and ensure clear visualization of the surgical field.
below the ureter ...there,14:40:56,10,,,,,,,urinary_tract,urinary_tract,True,c10_s0_0-30-18.avi,True,"Instrument: grasper, Action: retract, Tissue: adipose"
break your die stitch,17:03:38,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-57-30.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: NaN"
but just take it so we don't keep making swiss cheese of the urethra,19:00:03,29,,,,grip_hold,grip_hold,True,urinary_tract,urinary_tract,True,c29_s0_3-11-3.avi,True,Ensure precise instrument control and maintain clear visualization of the surgical field.
but narrow it down to a nice stock,09:31:16,33,,,,adjust_fix,adjust_fix,True,,,,c33_s0_0-57-3.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
"but there's more SV, you see that?",09:50:12,21,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c21_s0_1-4-59.avi,True,Maintain gentle traction and continue dissection around the tissue.
"but you got to take the packet, take the packet, feed it to Louis properly",09:29:21,21,,,,grip_hold,grip_hold,True,,,,c21_s0_0-44-8.avi,True,Maintain steady instrument control and ensure clear visualization of the tissue.
buzz,15:59:53,32,energy_device,energy_device,True,coagulate,coagulate,True,,,,c32_s0_0-52-7.avi,True,Advance the instrument carefully to dissect the tissue.
buzz,17:16:09,13,energy_device,energy_device,True,coagulate,coagulate,True,,,,c13_s0_1-51-35.avi,True,Adjust your grip and ensure clear visualization of the surgical field.
"buzz all of that, ____",11:53:49,28,,,,coagulate,coagulate,True,,,,c28_s0_1-49-5.avi,True,Adjust the instrument angle for better access to the tissue.
buzz it,09:27:02,24,,,,coagulate,coagulate,True,,,,c24_s0_0-22-32.avi,True,"Instrument: Bipolar forceps, Action: Coagulating, Tissue: Adipose tissue"
"buzz that, buzz that",14:16:25,2,,,,coagulate,coagulate,True,,,,c2_s0_0-16-39.avi,True,"Continue with precise dissection, maintaining clear visualization of the surgical field."
"can I see that window, lets see that window a little more",15:45:21,6,energy_device,energy_device,True,,,,,,,c6_s0_0-55-23.avi,True,"Instrument: bipolar forceps, Action: cauterize, Tissue: blood vessel"
"can I see... , I'm trying to grab",09:16:58,24,energy_device,energy_device,True,,,,,,,c24_s0_0-12-28.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
"can you zoom in right here, where you tied your suture?",16:16:04,18,suturing_tools,suturing_tools,True,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c18_s0_1-43-59.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: Urethra"
"careful what you grab too, that's okay, thats probably the most I would grab because you dont want to grab the ureter accidentally.",09:19:57,33,,,,,,,urinary_tract,urinary_tract,True,c33_s0_0-45-44.avi,True,Maintain gentle traction on the tissue for better visualization.
careful when you get the tip like that...need to lift up and use the hook,15:03:52,10,energy_device,energy_device,True,,,,,,,c10_s0_0-53-14.avi,True,"Instrument: Maryland bipolar forceps, Action: Dissect, Tissue: Fibrous band"
cause its all these vessels at the corner of the sem that's tethering you,15:49:16,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c26_s0_1-33-55.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
clean your hook,16:06:25,8,energy_device,energy_device,True,,,,,,,c8_s0_0-34-6.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Fibrous band"
closer to the SEM,15:51:10,26,,,,,,,None,None,True,c26_s0_1-35-49.avi,True,Maintain gentle traction and proceed with careful dissection.
closer to the prostate,14:39:50,15,,,,,,,prostate,prostate,True,c15_s0_0-30-53.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
cold cold,14:48:35,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c26_s0_0-33-14.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
come a little bit closer to the adenoma,14:26:10,2,,,,,,,miscellaneous,miscellaneous,True,c2_s0_0-26-24.avi,True,"Instrument: grasper, action: retract, tissue: peritoneum"
cut carefully,15:18:57,10,,,,cut_divide,cut_divide,True,,,,c10_s0_1-8-19.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Periurethral fascia"
"cut the tails, cut the tail, make them short, like that",15:28:58,15,,,,cut_divide,cut_divide,True,,,,c15_s0_1-20-1.avi,True,Ensure precise suture placement and maintain tension on the tissue.
cut tourniquet also,15:18:21,10,,,,cut_divide,cut_divide,True,,,,c10_s0_1-7-43.avi,True,Ensure secure placement of the clips on the vessel.
did you get the needle out?,15:29:01,15,suturing_tools,suturing_tools,True,,,,,,,c15_s0_1-20-4.avi,True,Advance the needle driver to secure the suture.
"do you want me to expose the urethra to you, to show you where you need to exit",19:07:30,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-18-30.avi,True,Advance the needle driver for precise suturing on the tissue.
"doesn't need to be perfect, just grab it and bring it in",08:55:29,19,,,,grip_hold,grip_hold,True,,,,c19_s0_0-41-43.avi,True,Advance the needle driver carefully through the tissue.
"don't get closer to the prostate, just stay in that level",09:58:31,33,,,,,,,prostate,prostate,True,c33_s0_1-24-18.avi,True,Maintain gentle pressure for optimal visualization.
don't pull too hard there okay because if you pull hard enough it will fall right through and you will have a hole in your urethra,17:03:03,22,,,,,,,urinary_tract,urinary_tract,True,c22_s0_2-56-55.avi,True,Ensure precise needle placement and maintain tension on the suture line.
"don't sweep underneath there, just do above, it's a nice juicy packet there",09:25:56,21,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c21_s0_0-40-43.avi,True,Maintain gentle traction on the tissue for better visualization.
dont cut into yellow fat,15:36:13,8,,,,cut_divide,cut_divide,True,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c8_s0_0-3-54.avi,True,Advance the instrument gently to dissect the tissue.
dont rip that,15:39:06,22,,,,ensure_safety,ensure_safety,True,,,,c22_s0_1-32-58.avi,True,Adjust your grip and proceed with careful dissection of the tissue.
"especially when you see those clear vessels, those are lymphatics, yeah?",09:30:20,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_0-56-7.avi,True,Dissect carefully to expose the tissue planes for better visualization.
figure out where the vein is going,15:56:00,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-48-14.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
find the ureter first,14:39:41,10,,,,,,,urinary_tract,urinary_tract,True,c10_s0_0-29-3.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
follow the contour of the gland,16:58:21,14,,,,,,,prostate,prostate,True,c14_s0_1-58-25.avi,True,"Instrument: ProGrasp Forceps, Action: Retract, Tissue: NaN"
get in with L hand and lift up,15:52:14,8,hand_control,hand_control,True,,,,,,,c8_s0_0-19-55.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
get into that spot right there,16:52:56,8,None,None,True,,,,,,,c8_s0_1-20-37.avi,True,"Instrument: bipolar forceps, Action: cauterize, Tissue: peritoneum"
get more tissue there,08:52:03,19,,,,grip_hold,grip_hold,True,,,,c19_s0_0-38-17.avi,True,"instrument: fenestrated bipolar forceps, action: grasping, tissue: mesh"
get mucosa,10:19:00,16,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c16_s0_1-24-4.avi,True,Continue suturing with precision to ensure proper tissue approximation.
get those fibers off,17:17:04,29,,,,dissect_clean,dissect_clean,True,,,,c29_s0_1-28-4.avi,True,"Instrument: grasper, action: retract, tissue: peritoneum"
get to the psoas and then work youre way,16:41:30,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c8_s0_1-9-11.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
go a little anterior 12 oclock,15:52:29,12,,,,navigate_position,navigate_position,True,,,,c12_s0_0-6-0.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
go a little higher then,11:08:27,31,,,,navigate_position,navigate_position,True,,,,c31_s0_1-33-56.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
go a little higher; let me show you one sec,14:31:30,10,,,,navigate_position,navigate_position,True,,,,c10_s0_0-20-52.avi,True,"Instrument: grasper, action: retract, tissue: adipose"
"go ahead and open here, start opening here, go",11:18:30,25,,,,open_spread,open_spread,True,,,,c25_s0_0-3-43.avi,True,Adjust the instrument position for optimal tissue engagement.
go ahead and open the bladder,11:19:16,25,,,,open_spread,open_spread,True,urinary_tract,urinary_tract,True,c25_s0_0-4-29.avi,True,Advance the instrument gently to engage the tissue.
"go deep, go inside, not down, forward",09:47:14,21,,,,navigate_position,navigate_position,True,,,,c21_s0_1-2-1.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
go in the urethra,18:59:43,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-10-43.avi,True,Ensure precise suture placement and maintain tension on the tissue.
gonadal right? lets find ureter,15:51:10,8,,,,,,,urinary_tract,urinary_tract,True,c8_s0_0-18-51.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
good,09:18:05,17,,,,,,,None,None,True,c17_s0_0-21-37.avi,True,"Instrument: ProGrasp Forceps, Action: Grasping, Tissue: Adipose"
good,14:49:28,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c26_s0_0-34-7.avi,True,Maintain gentle traction and ensure clear visualization of the dissection plane.
good,14:50:58,26,,,,,,,prostate,prostate,True,c26_s0_0-35-37.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
"good all this stuff is tethering you, this is a vessel right here so make sure you get it",17:42:55,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c29_s0_1-53-55.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"good, what are you going to do with your fourth arm?",10:13:48,16,auxiliary_arm,auxiliary_arm,True,,,,,,,c16_s0_1-18-52.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: Bladder neck"
grab,19:00:26,29,,,,grip_hold,grip_hold,True,,,,c29_s0_3-11-26.avi,True,Ensure precise suture placement and maintain tension on the tissue.
grab,19:18:57,29,,,,grip_hold,grip_hold,True,,,,c29_s0_3-29-57.avi,True,Maintain gentle traction and proceed with careful dissection.
grab it and lift it straight up,17:46:04,29,,,,grip_hold,grip_hold,True,,,,c29_s0_1-57-4.avi,True,"Instrument: Maryland Bipolar, Action: Grasping, Tissue: Ureter"
grab sack,08:54:07,19,,,,grip_hold,grip_hold,True,,,,c19_s0_0-40-21.avi,True,Continue suturing the tissue with precise tension.
grab that leaflet,14:52:16,26,,,,grip_hold,grip_hold,True,,,,c26_s0_0-36-55.avi,True,"Instrument: grasper, action: retract, tissue: NaN"
hang on for a second,13:55:09,4,,,,grip_hold,grip_hold,True,prostate,prostate,True,c4_s0_0-33-7.avi,True,"Instrument: grasper, action: retract, tissue: fibrous"
"hang on, grab here",09:30:23,24,,,,grip_hold,grip_hold,True,,,,c24_s0_0-25-53.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Dissection, Tissue: Adipose"
"here it's very high risk of going too low, and then you suddenly have your SV's, so if you can, tips should be pointing... I think you're...",14:26:38,2,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c2_s0_0-26-52.avi,True,"Instrument: grasper, action: retract, tissue: fibrous tissue."
hold it closer to the vein,14:46:33,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-40-25.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Adipose"
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",09:50:29,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-13-4.avi,True,"Instrument: Maryland Bipolar, Action: Dissecting, Tissue: Prostate"
hold the need at the halfway point,17:00:59,13,suturing_tools,suturing_tools,True,,,,,,,c13_s0_1-36-25.avi,True,"instrument: ProGrasp forceps, action: Grasping, tissue: NaN"
how do you break a stitch?,17:03:53,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-57-45.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Soft tissue"
i want to get the tissue off the vein,14:46:31,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-40-23.avi,True,"instrument: Fenestrated Bipolar Forceps, action: Grasping, tissue: Adipose"
i want you to be right off the vein,14:42:13,22,,,,,,,urinary_tract,urinary_tract,True,c22_s0_0-36-5.avi,True,Maintain gentle traction on the tissue with the instrument.
i would come closer to the prostate,14:39:56,15,,,,,,,prostate,prostate,True,c15_s0_0-30-59.avi,True,Advance the instrument gently to maintain clear visualization of the tissue.
i wouldnt take the vas yet,11:08:10,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c31_s0_1-33-39.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
if you angle your tip of your needle downwards towards the rectum,19:02:02,29,suturing_tools,suturing_tools,True,,,,gastrointestinal_tract,gastrointestinal_tract,True,c29_s0_3-13-2.avi,True,Ensure precise needle placement and maintain tension on the suture.
"if you cut past point on the vas, you risk snipping off the vessel, yeah",09:41:09,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-3-44.avi,True,"Instrument: grasper, Action: retract, Tissue: fibrous"
"if you do it correctly, there should be a nice little septum here between right and left SV",09:48:03,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-10-38.avi,True,"Instrument: grasper, action: retract, tissue: ureter."
"if you have to throw sutures in there, throw sutures in there... whatever needs to be done",15:24:31,18,suturing_tools,suturing_tools,True,,,,,,,c18_s0_0-52-26.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
"in here, vessel you see it?",16:28:30,13,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c13_s0_1-3-56.avi,True,"Instrument: grasper, action: retract, tissue: adipose"
