Dialogue,instrument,action,tissue,generated_feedback,alignment_score
"so now you got to change your angle, yeah? you need to go under the prostate or you're going to get into the bladder",[NONE],"[change, go under]","[prostate, bladder]",Adjust your approach to go under the prostate and bladder.,4
"other way, other way... under the prostate, okay?",[NONE],[NONE],[prostate],Focus on the prostate for the next step.,3
"if you go almost 90 degree... one second, let me show you",[NONE],[go almost 90 degrees],[NONE],Adjust your angle to nearly 90 degrees.,4
this is bladder,[NONE],[NONE],[bladder],Focus on the bladder for the next step.,3
so if you go down like this you'll going to buttonhole the bladder,[NONE],[NONE],[bladder],Focus on the bladder for the next step.,2
you should be... you're under the prostate now,[NONE],[NONE],[prostate],Focus on the prostate for the next step.,3
"you got to be able to see, too... your instrument is blocking, the shaft is blocking","[instrument, shaft]",[NONE],[NONE],Position the instrument shaft carefully for optimal access.,3
"your angle is barely correct, so more under the prostate",[NONE],[NONE],[prostate],Focus on the prostate for precise dissection.,3
"you could see the extent of the bladder, right? down there?",[NONE],[NONE],[bladder],Focus on the bladder for the next step.,3
"okay, so widen that out... medial... go to the other side... keep that in tact, we'll clip that",[NONE],"[widen, go, keep]",[NONE],Maintain focus and proceed with the current task.,2
"you see that, right? you can actually even see how thin your posterior bladder neck is... yeah",[NONE],[NONE],[posterior bladder neck],Focus on the posterior bladder neck for precise dissection.,3
the other visual cues which you might see which you don't necessarily see here is kind of striated fibers of the detruser fibers,[NONE],[NONE],[detrusor fibers],Focus on the detrusor fibers for precise dissection.,3
"that's another warning sign that your getting into the bladder... but here you don't see that, you just see just the thinness of the posterior bladder",[NONE],[NONE],"[bladder, posterior bladder]",Focus on the posterior bladder area.,3
so inch a little bit towards the prostate... especially that medial aspect of it,[NONE],[inch a little bit],"[prostate, medial aspect of prostate]",Inch a little bit on the medial aspect of the prostate.,5
"okay, leave the lateral... we're going to clip that",[NONE],[leave],[NONE],Proceed to the next step when ready.,2
"you can grab that, yeah... just be gentle with it",[NONE],"[grab, be gentle]",[NONE],Be gentle while grabbing.,5
"closer to the prostate here, you're still too close to the bladder",[NONE],[NONE],"[prostate, bladder]",Focus on the prostate and bladder for the next steps.,3
"by this time you're less likely you're going to get into the prostate, but you do have to scoop underneath",[NONE],[scoop],[prostate],Scoop the prostate tissue gently.,3
"so here... stop for a second... so rather than grabbing what you're grabbing there, I'd rather you just retract down",[retractor],"[stop, retract down]",[NONE],Stop retracting; ensure no tissue is being compressed.,2
"come in a little bit more and retract down, does that make sense?",[retractor],"[come in, retract down]",[NONE],Use the retractor to gently retract down.,4
"so, stop for a second... so you see those... pur your retraction there, that's fine",[retractor],"[stop, put]",[NONE],Stop using the retractor.,1
but these fibers are bladder fibers... these fibers here,[NONE],[NONE],[bladder fibers],Focus on the bladder fibers for precise dissection.,3
so your left hand is not quite robust enough,[left hand],[NONE],[NONE],Adjust your left hand position for optimal control.,3
so those are exactly the detruser fibers I was talking about,[NONE],[NONE],[detrusor fibers],Focus on the detrusor fibers for precise dissection.,3
"solve that bleeding problem, it's going to keep bleeding until you fix it...",[NONE],"[solve, fix]",[NONE],Focus on resolving the current issue efficiently.,3
"plus you have way too much char on your instrument, so it's just desecrating the char and you're not really fixing your problem",[instrument],[NONE],[NONE],Use the instrument precisely as needed.,2
keep going,[NONE],[keep going],[NONE],Continue with the current approach.,5
open and spread,[NONE],"[open, spread]",[NONE],"Open and spread carefully, maintaining control.",4
"open up wide... before you do that... just open up either side, you're still in a hole",[NONE],"[open up wide, open up either side]",[NONE],Ensure clear visualization before proceeding.,3
"not sure if putting that clip there might help or address this bleeder, it's such a distractor",[clip],[NONE],[vein],Position the clip carefully on the vein.,1
"pinpoint... that's not going to work... pinpoint, pinpoint... coagulation.. right there",[coagulation tool],"[pinpoint, coagulate]",[NONE],Use the coagulation tool to pinpoint and coagulate the target area precisely.,4
others... yeah just open that up a little bit more too,[NONE],[open up a little bit more],[NONE],Open up a little bit more.,5
"okay, that's enough... you go too lateral you're going to get into the pedicles and it's all going to bleed",[NONE],[NONE],[pedicles],Focus on the pedicles for precise dissection.,1
fix that,[NONE],[fix],[NONE],Clarify the action and tissue before proceeding.,2
"so I want you to recognize how thin your posterior bladder neck is, okay? without the redirection, that's even with redirection... without the redirection for sure you would've put a hole in there, okay?",[NONE],[recognize],[posterior bladder neck],Recognize the posterior bladder neck carefully.,3
"need you to recognize that, that is a critical thing",[NONE],[Recognize],[NONE],Identify the target tissue before proceeding.,4
I would just grab that with the fourth arm,[fourth arm],[grab],[NONE],Use the fourth arm to stabilize or retract as needed.,3
yeah and just keep going,[NONE],[keep going],[NONE],Continue with the current procedure.,5
see if you can just grab,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
"you can start with that, and then... once you free it up a little bit... get a better grab",[NONE],"[start, free up, get a better grab]",[NONE],Ensure a secure grip before proceeding.,4
"it's good, yeah... sweep all that off, since you're here",[NONE],[sweep off],[NONE],Clarify the target area for sweeping.,3
"that lip of stuff, yeah everything... just get right on",[NONE],[get right on],[NONE],Clarify your target and action before proceeding.,3
"perfect, get right on that space... you don't want anything to separate between you and the uh...",[NONE],[get right],[NONE],Adjust your positioning to the right.,4
"so advance, grab more of your SV",[NONE],"[advance, grab more]",[Seminal Vesicles],Advance carefully to grab more of the seminal vesicles.,5
so there's a pool of blood coming you'll have to fix that,[NONE],[fix],[NONE],Ensure stability before proceeding.,2
release it on the medial aspect,[NONE],[release],[NONE],Ensure all instruments are secure before proceeding.,2
"so advance your... yeah, advance... good",[NONE],[advance],[NONE],"Advance carefully, ensuring clear visualization of the surgical field.",4
"I would advance with your fourth arm, you're too deep in there without better retraction","[fourth arm, retractor]",[advance],[NONE],Advance the fourth arm retractor carefully to maintain optimal exposure.,4
"yeah, you could probably get rid of the vas now",[NONE],[get rid],[vas deferens],Remove the vas deferens carefully.,3
"but don't go past point, if you past point you risk...",[NONE],[don't go past point],[NONE],Avoid advancing beyond the specified point.,5
"sweep that, you can sweep that off",[NONE],[sweep],[NONE],Ensure sweeping motion is controlled and precise.,3
"if you cut past point on the vas, you risk snipping off the vessel, yeah",[NONE],[NONE],"[vas deferens, vessel]",Focus on the vas deferens vessel.,2
"yeah, so the goal is to eventually grab the tip of the SV, you may not be able to do that immediately but grab whatever you can and then lift",[graspers],"[grab, lift]",[Seminal Vesicles],Use the graspers to gently grab and lift the seminal vesicles.,4
"okay, now sweep everything else laterally",[NONE],[sweep laterally],[NONE],Sweep laterally with precision and control.,4
"nice and gentle, don't want to rip off that vessel that's always there",[NONE],[NONE],[vessel],Focus on the vessel for precise identification and management.,3
so regrab your... your fourth arm is not grabbing anything now,[fourth arm],[regrab],[NONE],Regrab with the fourth arm to secure the tissue.,4
"so I thought you already cut the SV, what is that? is that part of the vas that you regrabbed?",[NONE],[NONE],"[Seminal Vesicles, vas deferens]",Focus on the seminal vesicles and vas deferens.,2
oh is that the vas from the other side? it's possible,[NONE],[NONE],[vas deferens],Focus on the vas deferens.,2
"okay, so grab that",[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,2
buzz that thing before it sinks away... the red,[electrocautery],[buzz],[NONE],Use electrocautery to buzz when tissue is identified.,4
"just be careful buzzing next to his sucker, because it will conduct","[buzzing tool, sucker]",[be careful buzzing],[NONE],Be careful buzzing with the tool.,4
"so I usually clip that, I usually clip this thing laterally here",[clip],[NONE],[NONE],Ensure the clip is ready for use when needed.,2
"if you can give him a nice window, even better... if not, just give him that to clip",[NONE],"[give, give]",[NONE],Clarify the action and tissue involved for precise guidance.,2
"okay, don't rip it off, gentle",[NONE],"[dont rip, be gentle]",[NONE],Be gentle to avoid any unnecessary damage.,5
just cut,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,3
"sure... do one thing and then cut it cold, don't do both",[NONE],"[do one thing, cut]",[NONE],Specify the instrument and tissue before proceeding with the cut.,3
make sure that doesn't bleed,[NONE],[make sure],[NONE],Ensure all systems are functioning properly.,2
"okay, you got to fix your retraction though, you haven't touched your retraction in a while",[retractor],[fix],[NONE],Use the retractor to stabilize the area.,4
hold that up,[NONE],[hold up],[NONE],Maintain current position and await further instructions.,3
release whatever is attached there,[NONE],[release],[NONE],Ensure all instruments are secure before proceeding.,2
"I don't think that's anything, you can just burn through that probably",[NONE],[burn through],[NONE],Ensure the instrument is correctly positioned before proceeding.,1
"okay, maybe there is a blood vessel or two in that...",[NONE],[NONE],[blood vessel],Ensure hemostasis around the blood vessel.,2
"okay, that's good for now... let's go to the other side",[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,2
"so get right on it... so peel off that stuff off of it, expose the medial aspect of the SV first",[NONE],"[get right, peel off, expose]","[medial aspect, Seminal Vesicles]",Expose the medial aspect of the seminal vesicles carefully.,4
"if you do it correctly, there should be a nice little septum here between right and left SV",[NONE],[NONE],"[septum, right Seminal Vesicle, left Seminal Vesicle]",Focus on the septum and seminal vesicles for precise dissection.,3
"okay, so grab that",[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,2
"get the medial stuff first, all the medial stuff first; don't worry about the lateral stuff yet",[NONE],"[get first, don't worry]",[NONE],Proceed with the next step when ready.,2
"so what you just bipolared and what you cut was nearly the same spot, you want to give yourself a little bit more wiggle room, right?",[bipolar],[give yourself a little bit more wiggle room],[NONE],Adjust the bipolar instrument for better maneuverability.,4
"so whatever you burn, you want to cut just above that","[electrocautery, scissors]",[cut just above],[NONE],Use electrocautery to cut just above the target area.,4
"be gentle, you don't rip that off",[NONE],[be gentle],[NONE],Be gentle with your movements.,4
"alright, do you remember how I hold the SV's up?",[NONE],[NONE],[Seminal Vesicles],Identify and expose the seminal vesicles clearly.,3
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",[NONE],"[hold on, grab, leave room]","[Seminal Vesicles, Seminal Vesicles]",Hold on to the seminal vesicles carefully.,3
"so if you think you're in the right spot, the one thing to do is extend the sides, open that up, because you don't want to be in a hole... so just open it up as wide as it will go, it'll make the distal part easier",[NONE],"[extend, open, open]",[NONE],Extend and open carefully.,4
"so generally, I like to extend distally with the left hand and just spread up and down",[left hand],"[extend distally, spread up and down]",[NONE],"Extend distally and spread carefully, ensuring no unintended contact with surrounding tissues.",4
"uh if anything, I would want to stay short of how far you want to go distally, because you don't want to get to the rectourethralis muscle",[NONE],[stay short of how far you want to go distally],[rectourethralis muscle],Maintain your position short of the rectourethralis muscle.,5
so I would just stop short of where you think you probably would want to be,[NONE],[stop short],[NONE],Pause and reassess your current position.,4
"so if you could imagine the prostate running like that, right?",[NONE],[NONE],[prostate],Focus on the prostate for the next step.,4
so you don't want to put your first clips too low,[clips],[avoid placing too low],[NONE],Avoid placing clips too low.,5
so I would stay on the slightly higher side and you can take that lateral piece first with a clip,[clip],"[stay on the slightly higher side, take that lateral piece first]",[NONE],Stay on the slightly higher side and take that lateral piece first.,4
"yeah, take it there just so you can start narrowing yourself down",[NONE],"[take, start narrowing]",[NONE],Begin narrowing the field of view.,5
take that away,[NONE],[take away],[NONE],Clarify what needs to be taken away.,3
"just be gentle with that, don't retract too much... you're going to tear it off",[NONE],"[be gentle, don't retract too much]",[NONE],Be gentle and avoid excessive retraction.,5
"so find if the thing there you can buzz... if not, because it's pretty low",[NONE],[find],[NONE],Identify the target area before proceeding.,3
"see what's bleeding first, don't just randomly...",[retractor],"[see, don't randomly]",[NONE],Use the retractor purposefully to maintain clear visualization.,2
"so drop the lateral stuff open, you can cut that right there... incise that, just cut it",[NONE],"[drop, cut, incise, cut]",[lateral structure],Drop the instrument from the lateral structure.,2
"I would... kind of came down low again, if you can, I would aim back up towards the prostate",[NONE],[Aim back up],[prostate],Aim back up to reposition on the prostate.,5
"I was just trying to get down below the bleeder ooze but then I shifted down, so if anything come closer to the prostate again",[NONE],[come closer],"[vein, prostate]",Come closer to the vein and prostate.,4
"just don't rip off the clip, yeah?",[retractor],[don't rip off],[NONE],Ensure the retractor maintains gentle tension.,2
"don't buzz blindly, see what's actually bleeding, becaues you could have maybe clipped that on the next clip",[NONE],"[don't buzz blindly, see]",[NONE],Ensure clear visualization before proceeding.,3
"just open up the lateral stuff and see if you can just apply a clip, if you buzz it, you compromise the integrity of the vessel and then it's a different problem",[NONE],"[open, apply]","[lateral structure, vessel]",Open and apply to the lateral structure vessel carefully.,3
"so your vector is not quite right, you're pulling it towards you... I want you to pull it away from the prostate, okay?",[NONE],[pull away],[prostate],Pull away from the prostate carefully.,5
slice... good,[NONE],[slice],[NONE],Specify the instrument and tissue before proceeding with the slice.,3
"stay close, stay close",[NONE],[stay close],[NONE],Maintain proximity to the surgical field.,4
"no, just stay where you are",[NONE],[stay],[NONE],Maintain current position.,5
"you can open that up though, yeah that thing",[electrocautery],[open],[NONE],"Open the electrocautery carefully, ensuring no contact with surrounding tissues.",3
"open that, yes",[NONE],[open],[NONE],Specify the instrument and tissue before proceeding.,2
so retraction's not wonderful,[electrocautery],[NONE],[NONE],Ensure the electrocautery is ready for use.,2
so that's not perpendicular to your...,[electrocautery],[NONE],[NONE],Ensure the electrocautery is ready for use.,2
"just be careful, you're on the verge of tear, if not already torn; this is your neurovascular bundle",[NONE],[NONE],[neurovascular bundle],Focus on preserving the neurovascular bundle.,3
"okay, clear it up a little bit on the medial aspect",[NONE],[clear up],[NONE],Clarify the field for better visualization.,4
"clip there, yeah that's fine",[NONE],[clip],[NONE],Ensure the clip is applied securely.,4
"and open up, that lateral thing can be opened up, and you can actually buzz that little thing here",[NONE],"[open up, buzz]",[lateral structure],Open up and buzz the lateral structure carefully.,5
take that first,[NONE],[take first],[NONE],Proceed with the next step when ready.,2
"yeah, you actually have an open... I don't know if you can see it.. there's an open sinus there, so if you can put a clip that will encompass...",[NONE],[put],[NONE],Specify the instrument and tissue for precise guidance.,2
"watch your scissors, you're in his way",[NONE],"[watch, move]",[NONE],Watch carefully and move with precision.,3
"sure, we're going to have to sow it anyway",[NONE],[sow it],[NONE],Clarify the action and tissue before proceeding.,2
go,[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,3
"you can, yeah","[needle driver, right hand, DVC stitch]",[NONE],[NONE],Position the needle driver for the next step.,2
"hold on, what are you doing?",[NONE],[hold on],[NONE],Maintain your current position.,2
"alright, I think you are almost done there",[bipolar],[NONE],[NONE],Ensure the bipolar is ready for use when needed.,2
so you can take that piece there probably... just cut that,[bipolar],[cut],[NONE],Use the bipolar to cut only when tissue is present.,2
the lateral... lateral stuff... lateral,[NONE],[NONE],[lateral structure],Identify and assess the lateral structure carefully.,3
"okay, I think you're done here, and then I would go anterior and then come back",[NONE],"[go anterior, come back]",[anterior structure],Go anterior and come back on the anterior structure.,4
take your lateral stuff,[NONE],[take],[lateral structure],Take care when handling the lateral structure.,4
"yeah, you can take all of that down",[NONE],[take down],[NONE],Clarify the target tissue for the take down.,2
do you have any retraction on the prostate?,[clip],[NONE],[prostate],Position the clip near the prostate for optimal placement.,2
"yeah, that's fine... don't worry about all of that, just worry about the anterior stuff right now",[clip],[worry],[NONE],Focus on the task; ensure clips are secure.,2
"okay, I think you're ready... let's go","[clip, electrocautery]",[NONE],[NONE],Select an action for the clip or electrocautery.,2
"yes, just cold cut... a little more distal... distal...",[NONE],"[cold cut, cut more distal]",[NONE],Cut more distally with precision.,5
"there, there... go",[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,3
"keep going, keep going",[NONE],[keep going],[NONE],Continue with the current procedure.,5
"mhm... so you... yeah, keep going",[NONE],[keep going],[NONE],Continue with the current procedure.,5
"cut that all the way first, cut that all the way down... yeah, and then burn it, because you're barely cross it",[NONE],"[cut, burn]",[NONE],Specify the instrument and tissue before proceeding with cut or burn.,3
buzz that... buzz that vessel... thicker vessel,[NONE],[buzz],"[vessel, thicker vessel]",Buzz the thicker vessel carefully.,5
"okay, keep going, keep going",[NONE],[keep going],[NONE],Continue with the current approach.,5
burn that vessel,[retractor],[burn],[vessel],Use the retractor to expose the vessel before proceeding with cauterization.,2
"there's a few open vessels... yeah, just burn those",[NONE],[burn],[vessels],Cauterize the vessels carefully to prevent bleeding.,5
"just if anything, you can err on the lateral sides, right?",[NONE],[err on the lateral sides],[NONE],Avoid erring on the lateral sides.,1
"you can take the lateral stuff down, because your urethra is not going to be there... as long as you have a good sense of where the midline is",[NONE],[take down],"[lateral structure, urethra, midline]",Take down the lateral structure and urethra at the midline.,4
"so you still have this white fiber stuff, you know you can take that down",[NONE],[take down],[NONE],Clarify the target tissue for the take down.,2
probably after that you are going to get to the prostate... uh the urethra,[NONE],[get],"[prostate, urethra]",Get a clear view of the prostate and urethra.,3
"okay, lateral stuff take it down, lateral stuff safe",[NONE],[take down],"[lateral structure, lateral structure]",Take down the lateral structure carefully.,5
"uh-huh, keep going",[NONE],[keep going],[NONE],Continue with the current procedure.,5
"so don't worry about the posterior stuff, get the anterior stuff off first... take it down to the urethra",[NONE],"[get off first, take down]","[posterior structure, anterior structure, urethra]",Take down the posterior structure from the urethra.,2
mhm,[clip],[NONE],[NONE],Position the clip for optimal placement.,2
buzz that thing that's bleeding,[NONE],[buzz],[NONE],Ensure the correct instrument is ready before proceeding.,2
okay good,[scissors],[NONE],[NONE],Position the scissors carefully for the next action.,2
"okay, so now let's get needle driver in the right hand... have you done this before? the DVC stitch?",[NONE],"[get, have]",[NONE],Ensure you have everything ready before proceeding.,2
"so make sure you start... you're going to go from right to left, make sure you go as laterally as you need to so you don't miss the most lateral extents of the sinus",[graspers],"[start, go from right to left, go as laterally as you need to]",[NONE],Use the graspers to move laterally from right to left.,5
so I would throw one more and then do a perineal,[NONE],"[throw, do]",[NONE],Clarify the action and target tissue before proceeding.,2
"keep going, keep going... let's go, let's go",[NONE],"[keep going, keep going]",[NONE],Continue with the current procedure.,5
"and then do a perineal pressure, make sure there's no open sinuses lateral to where you started",[NONE],"[do, make sure]",[NONE],Ensure all systems are functioning properly.,2
if you can not exert so much pressure towards you... you're tenting up the tissue towards you... just don't pull back,[NONE],"[exert less pressure, don't pull back]",[tissue],Exert less pressure on the tissue.,3
"so now come in a little bit, yeah",[NONE],[come in a little bit],[NONE],Come in a little bit.,5
"okay, let's test one more time... uh perineal pressure",[NONE],"[test one more time, apply perineal pressure]",[NONE],Apply perineal pressure carefully.,4
"okay fine, yeah, it's your last stitch",[stitch],[NONE],[NONE],Prepare to use the stitch instrument when needed.,3
"okay, you can get your scissors back and you can cut that",[scissors],"[get, cut]",[NONE],Use scissors to cut the intended tissue precisely.,5
"yeah that doesn't work, get your scissors back",[scissors],[get back],[NONE],Retrieve the scissors to a safe position.,5
"so even more... I would grab it... yeah, right there is good... so you see where you need to go",[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
just make sure you stay closer to the prostate,[NONE],[stay closer],[prostate],Stay closer to the prostate for better precision.,5
"hold on, hold on, hold on... you're not done there, you're not done there",[NONE],[hold on],[NONE],Maintain your current position.,2
"so what I woud do... hold on, so stop... so what I would do, not what you just did",[NONE],[stop],[NONE],Stop immediately and await further instructions.,5
"so again, the key is to find the posterior plane, extend it to the urethra",[NONE],"[find, extend]","[posterior plane, urethra]",Find and extend the posterior plane of the urethra carefully.,5
"you just have to get to the extent... uh don't go there, don't go there, don't go there",[NONE],"[get, don't go]",[NONE],Proceed with caution and avoid unnecessary movements.,3
"that's good enough, you see how... you want to preserve the tissue around urethra, that's your continence... the whole complex is continence",[NONE],[preserve the tissue around],"[tissue around urethra, urethra]",Preserve the tissue around the urethra carefully.,5
"okay, let go of that left hand... or fourth arm","[left hand, 4th arm]",[let go],[NONE],Release with the left hand on the 4th arm.,5
"more retraction, please... on the prostate side... just tap and pull",[retractor],"[tap, pull]",[prostate],Gently tap and pull the prostate with the retractor.,4
"clear out the lateral stuff, that little web",[NONE],[clear out],"[lateral structure, web]",Clear out the web from the lateral structure.,5
don't cut in a hole,[NONE],[don't cut],[NONE],Avoid cutting until further instruction.,4
keep going,[NONE],[keep going],[NONE],Continue with the current procedure.,5
take the side first... the lateral... that thing... uh-huh take that first,[NONE],[take],[NONE],Clarify the action and tissue before proceeding.,3
"stay in one plane, you're kind of... zig-zaggy",[NONE],[stay],[NONE],Maintain your current position.,3
"yeah, maybe less... just a little bit less of that pull... you just want to see that resistance",[NONE],"[reduce, observe]",[NONE],Observe carefully and reduce any unnecessary movements.,3
"you pull hard enough that knot's is going to go through, and you have a big hole there and it's super annoying for all involved, so don't do that",[NONE],[don't pull],[NONE],Avoid applying tension.,4
"yeah, just a nice, gentle tug would be sufficient",[NONE],[pull gently],[NONE],Pull gently with appropriate instrument.,5
make sure you travel here,[NONE],[travel here],[NONE],Proceed to the next target area.,4
"yeah, so I would not waste your time doing this, you see you had to let go of the needle... just throw and you cinch all at the end, it's just a little bit more efficient",[needle],"[throw, cinch]",[NONE],Cinch the suture securely with the needle.,1
"does that make sense? you have to cinch anyway, and you do it just one spot's plenty",[NONE],[cinch],[NONE],"Cinch carefully, ensuring secure tension.",3
"okay, that's plenty, that's plenty, don't strangulate",[NONE],[dont strangulate],[NONE],Ensure no tissue is under excessive tension.,4
"so also next time, you see how you incorporated that last reconstruction stitch, just for good measure you want to exclude that from your thing",[stitch],[exclude],[NONE],Ensure all tissues are appropriately managed before proceeding with other tasks.,3
that might've been actually the rocco stitch possibly too,[stitch],[NONE],[NONE],Prepare to use the stitch instrument when needed.,2
might as well finish,[NONE],[finish],[NONE],Complete the current task and prepare for the next step.,3
"yeah, just U it back... just split the difference between your two and you should be okay",[NONE],"[U it back, split the difference]",[NONE],Clarify your action and target tissue before proceeding.,2
make sure the catheter goes in,[catheter],[make sure],[NONE],Ensure the catheter is properly positioned.,5
"if you can find any other sources of bleeding, go ahead and take care of it",[NONE],"[find, take care]",[NONE],Focus on identifying and addressing any issues.,3
"so if there's anything I want you to err on being on the adenoma or getting into the adenoma, if that makes any sense",[NONE],[err],[adenoma],Address the error with the adenoma handling immediately.,1
"because it's very easy to deviate from the surface of the adenoma and end up getting through the capsule, and you know that's just really annoying... and you don't want to be annoying",[NONE],[NONE],"[adenoma, capsule]",Focus on the adenoma and capsule for precise dissection.,3
"so start marching up, start marching up",[NONE],[start marching up],[NONE],Proceed with caution and ensure clear visualization.,2
so you can open up... you're going to have to open up the thing,[NONE],[open up],[NONE],Specify the instrument and tissue for the action.,2
"underneath this... just flip it over, yeah",[NONE],[flip],[NONE],Clarify which instrument and tissue you intend to flip.,3
"so be a little bit patient when you're looking for a bleeder, don't just buzz anything that's red, because you don't have enough exposure really to see where the actual source of bleeding is if you're just buzzing",[NONE],"[be patient, don't buzz]",[NONE],Be patient and avoid using the cautery.,4
"so don't sweep, you do a lot of sweeping... the sweeping is just stretching and tearing muscle fiber, detrusor fibers I think",[NONE],[don't sweep],"[muscle fiber, detrusor fibers]",Avoid sweeping the muscle fiber and detrusor fibers.,5
"I would do shorter sweeps, just so that... because the long sweeps are just ripping the detrusor fibers",[NONE],[do shorter sweeps],[detrusor fibers],Do shorter sweeps on the detrusor fibers.,5
"so less sweeping and more just... I would use a little more energy as you go, because the long sweeps you end up just tearing detrusor and also bleeding stuff",[energy devices],"[use more energy, reduce sweeping]",[detrusor],Use more energy with reduced sweeping on the detrusor.,5
"buzz that, and then a smaller length sweep",[electrocautery],"[buzz, sweep]",[NONE],Use electrocautery to buzz and sweep carefully.,3
"you could still do the sweep, just shorter... and then that way it's a little more controlled, and then more hemostatic",[NONE],[sweep shorter],[NONE],Sweep shorter for precise control.,4
"right there, I would've buzzed first and then swept",[electrocautery],"[buzz first, sweep]",[NONE],"Buzz first, then sweep with electrocautery.",5
so the one thing I see missing also is your retraction needs to...,[retractor],[NONE],[NONE],Position the retractor for optimal exposure.,3
"generally, retraction is you give it a gentle nudge one direction, and if you've exhausted then you have to regrab",[retractor],"[give gentle nudge, regrab]",[NONE],Use the retractor to give a gentle nudge and regrab as needed.,5
