Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,valid,generated_feedback,alignment_score
I was going to put another clip there,17:09:28,7,clip_device,clip_device,True,,,,,,,True,Prepare the clip device for vessel or duct ligation as needed.,3
I would buzz a little bit higher...dont buz ...,15:59:45,32,,,,coagulate,coagulate,True,,,,True,Coagulate cautiously to control bleeding without damaging surrounding tissues.,2
I would cheat a little bit closer to your last stitch,18:57:35,29,suturing_tools,suturing_tools,True,,,,,,,True,Ensure the suturing tools are ready for precise needle placement.,2
I would not lift it with that...stop for a second,10:47:01,31,,,,interrupt_action,interrupt_action,True,,,,True,Pause and reassess before proceeding with the next step.,4
"I wouldnt do that much yet...the reason is bc i want to start from here and start to see adrenal and march lateral to that and you dont know that yet, so i wouldnt even bother scoring the adrenal",17:18:27,7,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,True,Keep clear visualization of retroperitoneal structures to avoid inadvertent injury.,2
Like you're digging under your suture line.,18:10:46,12,suturing_tools,suturing_tools,True,,,,,,,True,Check your needle loading carefully before starting the suture.,2
No the veins gonna collapse,15:09:19,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Stay lateral to the neurovascular bundles to preserve erectile function.,2
Now careful bc if you get under the fascia of psoas youre gonna bleed,15:52:20,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,True,Handle retroperitoneal structures with care to avoid inadvertent injury.,3
"Press it on, press down on it on the tissue around it.",17:59:26,12,,,,traction_retract,traction_retract,True,,,,True,Apply gentle traction and retraction to optimize exposure without causing tissue stress.,2
"Press, there you go.",17:59:30,12,,,,traction_retract,traction_retract,True,,,,True,Use gentle traction and retraction to avoid tissue injury.,2
Right off the nerve,09:38:49,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the vascular neurovascular structures meticulously to prevent bleeding and nerve injury.,3
See once you do that how the vein just pushes down...if youre on the plane thats right on top of the vein thats where you want to be,15:56:30,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Preserve the neurovascular structures carefully to maintain erectile function.,2
So things to work on while you're doing this is it's just simple...Minor adjustments to rock your needle back.,17:49:11,12,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools carefully for precise needle handling.,2
Still too much mucosa.,17:46:33,12,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,True,Avoid manipulating the gastrointestinal tract to prevent inadvertent injury.,2
Stop and look at your needle...Stop and look at it.,17:54:46,12,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools carefully for precise needle handling and placement.,2
Sweep sweep it down.,16:01:33,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,True,Continue gentle sweeping maneuvers to maintain clear surgical field and avoid tissue trauma.,4
The type of bleeding youre gonna run into when you get down there are...which is super annoying so its better to identify them and buzz them,15:57:52,32,,,,coagulate,coagulate,True,,,,True,Coagulate carefully to control bleeding and preserve surrounding structures.,2
"Then we're going to not change the position, extract in this position, then close it, and then we'll take another look inside.",16:59:39,8,,,,inspect,inspect,True,,,,True,Inspect carefully to identify key anatomical landmarks before proceeding.,2
VAS and sems are up,12:04:54,28,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas with utmost care to prevent injury.,2
"What is going on, where did this needle come from?",18:19:10,14,suturing_tools,suturing_tools,True,,,,,,,True,Ensure the suturing tools are ready for precise needle handling and knot tying.,2
Why is there a third needle?,18:19:21,14,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools carefully for precise needle handling and placement.,2
a little buzz and push,09:24:53,24,,,,coagulate,coagulate,True,,,,True,Coagulate cautiously to control bleeding without damaging surrounding tissues.,3
a little closer to the gland,15:07:19,18,None,None,True,,,,,,,True,Maintain focus and readiness for the next instrument or action.,2
"adjust your fourth arm, and pull to retract",09:09:30,17,auxiliary_arm,auxiliary_arm,True,,,,,,,True,Adjust the auxiliary arm for optimal retraction and exposure.,4
"again if you need to do a sharp turn grab the needle closer, and you're going to run out of the needle you can always let go.",17:01:30,22,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools for precise needle handling and knot tying.,2
"again, see how far away your left hand is to the action. too far away right?",14:47:50,22,hand_control,hand_control,True,,,,,,,True,Keep your hand control steady to maintain precise instrument positioning.,2
"ahh, , that's too thin of a bite, pull that out that's too thin and you were not turning your wrist as you were taking it out",11:00:00,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the neurovascular structures carefully to preserve function.,2
all of these come down this..your arterys here and your veins here,15:57:08,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect vascular neurovascular structures meticulously to prevent bleeding or nerve injury.,3
"all the way down and in and that will allow you when you clip ureter, youre gonna move the kidney UP completely",15:42:04,10,,,,,,,urinary_tract,urinary_tract,True,True,Inspect the urinary tract carefully to identify any abnormalities or injury.,2
"alright a little bit sloppy, you're cutting onto the clip itself",14:51:44,22,clip_device,clip_device,True,,,,,,,True,Prepare the clip device carefully before applying clips.,2
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,09:13:59,1,,,,,,,prostate,prostate,True,True,Focus on preserving the prostate capsule during dissection.,2
"alright, I think you are almost done there",10:37:45,1,energy_device,energy_device,True,,,,,,,True,Activate the energy device cautiously and confirm target tissue before proceeding.,2
"alright, do you remember how I hold the SV's up?",09:50:19,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas delicately to prevent inadvertent injury.,3
always inspect the prostate so we have plenty of tissue on the right side and less on the left,15:28:50,3,,,,,,,urinary_tract,urinary_tract,True,True,Handle the urinary tract tissues with utmost care to prevent any trauma.,2
and buzz right above the vein...dont buzz the vein but,15:57:41,32,energy_device,energy_device,True,coagulate,coagulate,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Coagulate the neurovascular structures cautiously to prevent thermal injury.,1
and im not a real big fan of you grabbing your needle and taking it off screen okay?,10:26:08,16,suturing_tools,suturing_tools,True,,,,,,,True,Check suture tension carefully before proceeding with needle passage.,2
and on the bladder we travel a little bit more,18:58:13,29,,,,,,,urinary_tract,urinary_tract,True,True,Handle the urinary tract delicately to prevent trauma or leakage.,2
"and open up the space, open it up",09:19:35,33,,,,open_spread,open_spread,True,,,,True,Open and spread cautiously to avoid unnecessary tissue trauma.,3
"and then on the anterior bladder neck, take care of that",09:20:51,1,,,,,,,urinary_tract,urinary_tract,True,True,", keep the urinary tract well visualized and avoid unnecessary manipulation.",3
and then turn here,19:09:24,29,,,,rotate_turn,rotate_turn,True,,,,True,Rotate the camera slowly to maintain orientation and avoid disorientation.,3
and very little mucosa you could take just the edge,15:48:51,3,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to ensure stable tissue manipulation.,2
"and whenever it's not well-defined, come back to the lateral side where it's better-defined... especially towards the...",14:16:15,2,,,,navigate_position,navigate_position,True,,,,True,Navigate carefully to maintain optimal positioning and avoid unnecessary tissue tension.,3
any leaks? anything from the hole that you made?,10:24:03,16,,,,,,,None,None,True,True,Maintain focus and proceed carefully with the next step.,2
are you sure you're not too far from the prostate?,14:21:26,4,,,,,,,prostate,prostate,True,True,Focus on clear prostate exposure before proceeding with dissection.,3
as you progress you can include the sac and bring the sac up,08:51:03,19,,,,,,,miscellaneous,miscellaneous,True,True,Maintain clear visualization of the miscellaneous tissue for safe dissection.,2
back up with your camera,14:34:07,18,,,,navigate_position,navigate_position,True,,,,True,Focus on precise navigation to maintain optimal instrument positioning.,2
be careful dont get into the prostate,17:04:06,13,,,,,,,prostate,prostate,True,True,Focus on clear prostate margins to ensure complete oncologic resection.,1
"be careful what you grab, it's a nephrectomy so it's very fragile",09:33:41,24,auxiliary_arm,auxiliary_arm,True,,,,,,,True,Position the auxiliary arm to optimize exposure without causing tissue tension.,3
be gentle dont poke the tumor,16:46:01,8,,,,ensure_safety,ensure_safety,True,miscellaneous,miscellaneous,True,True,Ensure safety by maintaining gentle tissue handling throughout the procedure.,3
because if youre not on the adenoma you run risk,16:03:16,12,,,,,,,miscellaneous,miscellaneous,True,True,Keep the field clear and maintain optimal visualization throughout the procedure.,2
"because it's very easy to deviate from the surface of the adenoma and end up getting through the capsule, and you know that's just really annoying... and you don't want to be annoying",14:04:51,2,,,,,,,miscellaneous,miscellaneous,True,True,Keep your focus on the miscellaneous tissue to avoid inadvertent injury.,3
because you are wasting too much urethra real estate,18:58:46,29,,,,,,,urinary_tract,urinary_tract,True,True,Maintain clear visualization of the urinary tract for precise dissection.,2
below the ureter ...there,14:40:56,10,,,,,,,urinary_tract,urinary_tract,True,True,Handle the urinary tract with care to preserve its integrity during dissection.,3
break your die stitch,17:03:38,22,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools for precise needle handling and secure knot tying.,2
but just take it so we don't keep making swiss cheese of the urethra,19:00:03,29,,,,grip_hold,grip_hold,True,urinary_tract,urinary_tract,True,True,Grip the urinary tract gently to avoid unnecessary trauma.,3
but narrow it down to a nice stock,09:31:16,33,,,,adjust_fix,adjust_fix,True,,,,True,Adjust the fixation carefully to maintain stable instrument positioning.,3
"but there's more SV, you see that?",09:50:12,21,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to avoid injury during dissection.,3
"but you got to take the packet, take the packet, feed it to Louis properly",09:29:21,21,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to stabilize the tissue effectively.,2
buzz,15:59:53,32,energy_device,energy_device,True,coagulate,coagulate,True,,,,True,Coagulate carefully to achieve hemostasis without damaging adjacent tissues.,3
buzz,17:16:09,13,energy_device,energy_device,True,coagulate,coagulate,True,,,,True,Coagulate carefully with the energy device to control bleeding effectively.,4
"buzz all of that, ____",11:53:49,28,,,,coagulate,coagulate,True,,,,True,Use precise coagulation to control bleeding without damaging surrounding tissues.,4
buzz it,09:27:02,24,,,,coagulate,coagulate,True,,,,True,Coagulate cautiously to control bleeding without damaging surrounding tissues.,4
"buzz that, buzz that",14:16:25,2,,,,coagulate,coagulate,True,,,,True,Use the appropriate instrument for coagulation to control bleeding effectively.,4
"can I see that window, lets see that window a little more",15:45:21,6,energy_device,energy_device,True,,,,,,,True,Activate the energy device cautiously to avoid collateral tissue damage.,2
"can I see... , I'm trying to grab",09:16:58,24,energy_device,energy_device,True,,,,,,,True,Activate the energy device cautiously to avoid collateral tissue damage.,2
"can you zoom in right here, where you tied your suture?",16:16:04,18,suturing_tools,suturing_tools,True,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,True,Engage the suturing tools carefully with the fat-fascial-peritoneal planes.,2
"careful what you grab too, that's okay, thats probably the most I would grab because you dont want to grab the ureter accidentally.",09:19:57,33,,,,,,,urinary_tract,urinary_tract,True,True,Keep the urinary tract clearly visible for safe dissection and manipulation.,3
careful when you get the tip like that...need to lift up and use the hook,15:03:52,10,energy_device,energy_device,True,,,,,,,True,Activate the energy device cautiously to avoid collateral tissue damage.,3
cause its all these vessels at the corner of the sem that's tethering you,15:49:16,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Keep the seminal vesicle and vas deferens clearly visualized and avoid excessive traction.,3
clean your hook,16:06:25,8,energy_device,energy_device,True,,,,,,,True,Use the energy device cautiously to prevent unintended tissue injury.,2
closer to the SEM,15:51:10,26,,,,,,,None,None,True,True,Maintain focus and proceed cautiously with the next step.,2
closer to the prostate,14:39:50,15,,,,,,,prostate,prostate,True,True,Maintain clear visualization of the prostate for precise dissection.,3
cold cold,14:48:35,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to preserve their integrity.,2
come a little bit closer to the adenoma,14:26:10,2,,,,,,,miscellaneous,miscellaneous,True,True,Avoid unnecessary manipulation of miscellaneous tissues to prevent inadvertent injury.,2
cut carefully,15:18:57,10,,,,cut_divide,cut_divide,True,,,,True,Cut precisely and avoid unnecessary tissue damage.,4
"cut the tails, cut the tail, make them short, like that",15:28:58,15,,,,cut_divide,cut_divide,True,,,,True,Focus on precise cutting; ensure clear visualization before dividing tissue.,3
cut tourniquet also,15:18:21,10,,,,cut_divide,cut_divide,True,,,,True,Cut carefully and maintain clear visualization during dissection.,2
did you get the needle out?,15:29:01,15,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready and needles are securely loaded.,2
"do you want me to expose the urethra to you, to show you where you need to exit",19:07:30,29,,,,,,,urinary_tract,urinary_tract,True,True,Handle the urinary tract with care to avoid any inadvertent injury.,2
"doesn't need to be perfect, just grab it and bring it in",08:55:29,19,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to ensure stable tissue handling.,3
"don't get closer to the prostate, just stay in that level",09:58:31,33,,,,,,,prostate,prostate,True,True,Keep the prostate well exposed for accurate and safe dissection.,1
don't pull too hard there okay because if you pull hard enough it will fall right through and you will have a hole in your urethra,17:03:03,22,,,,,,,urinary_tract,urinary_tract,True,True,Keep the urinary tract well visualized for safe and precise manipulation.,2
"don't sweep underneath there, just do above, it's a nice juicy packet there",09:25:56,21,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,True,Use smooth sweeping maneuvers to clear the field gently.,1
dont cut into yellow fat,15:36:13,8,,,,cut_divide,cut_divide,True,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,True,Cut carefully through the fat and fascial planes to avoid injuring underlying structures.,3
dont rip that,15:39:06,22,,,,ensure_safety,ensure_safety,True,,,,True,Ensure safety by maintaining clear visualization and gentle tissue handling throughout.,3
"especially when you see those clear vessels, those are lymphatics, yeah?",09:30:20,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the vascular neurovascular structures meticulously to prevent bleeding and preserve nerve function.,2
figure out where the vein is going,15:56:00,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the neurovascular bundles meticulously to preserve erectile function.,2
find the ureter first,14:39:41,10,,,,,,,urinary_tract,urinary_tract,True,True,Maintain gentle handling of the urinary tract to prevent injury.,2
follow the contour of the gland,16:58:21,14,,,,,,,prostate,prostate,True,True,Focus on precise dissection around the prostate to preserve surrounding structures.,3
get in with L hand and lift up,15:52:14,8,hand_control,hand_control,True,,,,,,,True,Maintain steady hand control to ensure precise instrument positioning.,2
get into that spot right there,16:52:56,8,None,None,True,,,,,,,True,Keep your focus sharp and maintain smooth instrument control throughout.,2
get more tissue there,08:52:03,19,,,,grip_hold,grip_hold,True,,,,True,Engage the tissue firmly with your grip to maintain control.,3
get mucosa,10:19:00,16,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,True,Avoid manipulating the gastrointestinal tract to prevent inadvertent injury.,2
get those fibers off,17:17:04,29,,,,dissect_clean,dissect_clean,True,,,,True,Dissect cleanly and maintain clear visualization throughout the procedure.,3
get to the psoas and then work youre way,16:41:30,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,True,Handle the retroperitoneal structures with care to avoid inadvertent injury.,2
go a little anterior 12 oclock,15:52:29,12,,,,navigate_position,navigate_position,True,,,,True,Navigate carefully to maintain orientation and avoid unnecessary tissue contact.,2
go a little higher then,11:08:27,31,,,,navigate_position,navigate_position,True,,,,True,Keep steady navigation to maintain optimal camera positioning throughout the procedure.,2
go a little higher; let me show you one sec,14:31:30,10,,,,navigate_position,navigate_position,True,,,,True,Navigate carefully to maintain optimal camera positioning throughout the procedure.,2
"go ahead and open here, start opening here, go",11:18:30,25,,,,open_spread,open_spread,True,,,,True,Open and spread carefully to maintain clear visualization and avoid tissue trauma.,3
go ahead and open the bladder,11:19:16,25,,,,open_spread,open_spread,True,urinary_tract,urinary_tract,True,True,Open and spread carefully to avoid trauma to the urinary tract.,3
"go deep, go inside, not down, forward",09:47:14,21,,,,navigate_position,navigate_position,True,,,,True,Keep the camera steady and optimize your navigation smoothly.,2
go in the urethra,18:59:43,29,,,,,,,urinary_tract,urinary_tract,True,True,Keep the urinary tract well visualized to avoid inadvertent injury.,2
gonadal right? lets find ureter,15:51:10,8,,,,,,,urinary_tract,urinary_tract,True,True,Keep the urinary tract clearly exposed for safe dissection and identification.,3
good,09:18:05,17,,,,,,,None,None,True,True,Maintain steady control and ensure clear visualization throughout the procedure.,3
good,14:49:28,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas with care to prevent inadvertent injury.,3
good,14:50:58,26,,,,,,,prostate,prostate,True,True,Focus on clear prostate visualization before proceeding with dissection.,3
"good all this stuff is tethering you, this is a vessel right here so make sure you get it",17:42:55,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the vascular neurovascular structures carefully to preserve function and prevent bleeding.,3
"good, what are you going to do with your fourth arm?",10:13:48,16,auxiliary_arm,auxiliary_arm,True,,,,,,,True,Adjust the auxiliary arm for optimal exposure and instrument stability.,2
grab,19:00:26,29,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to stabilize the tissue effectively.,4
grab,19:18:57,29,,,,grip_hold,grip_hold,True,,,,True,Maintain a gentle grip to prevent tissue trauma during manipulation.,3
grab it and lift it straight up,17:46:04,29,,,,grip_hold,grip_hold,True,,,,True,Engage the instrument firmly to secure tissue without excessive force.,3
grab sack,08:54:07,19,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to stabilize the tissue effectively.,3
grab that leaflet,14:52:16,26,,,,grip_hold,grip_hold,True,,,,True,Ensure a firm grip before proceeding to maintain tissue control.,3
hang on for a second,13:55:09,4,,,,grip_hold,grip_hold,True,prostate,prostate,True,True,Grip the prostate firmly but gently to avoid tissue damage.,2
"hang on, grab here",09:30:23,24,,,,grip_hold,grip_hold,True,,,,True,Maintain a firm grip to ensure tissue stability during manipulation.,3
"here it's very high risk of going too low, and then you suddenly have your SV's, so if you can, tips should be pointing... I think you're...",14:26:38,2,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to avoid injury.,3
hold it closer to the vein,14:46:33,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the vascular neurovascular structures by maintaining gentle dissection and avoiding traction.,2
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",09:50:29,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on careful dissection around the seminal vesicle and vas deferens.,3
hold the need at the halfway point,17:00:59,13,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools carefully for precise needle handling and knot tying.,2
how do you break a stitch?,17:03:53,22,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for precise needle control and knot tying.,2
i want to get the tissue off the vein,14:46:31,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the neurovascular structures carefully to preserve function and minimize bleeding.,2
i want you to be right off the vein,14:42:13,22,,,,,,,urinary_tract,urinary_tract,True,True,Maintain clear visualization of the urinary tract to avoid inadvertent injury.,2
i would come closer to the prostate,14:39:56,15,,,,,,,prostate,prostate,True,True,Focus on precise dissection around the prostate to avoid capsular injury.,3
i wouldnt take the vas yet,11:08:10,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Protect the seminal vesicle and vas to prevent inadvertent injury.,3
if you angle your tip of your needle downwards towards the rectum,19:02:02,29,suturing_tools,suturing_tools,True,,,,gastrointestinal_tract,gastrointestinal_tract,True,True,Prepare the suturing tools carefully for gastrointestinal tract repair.,2
"if you cut past point on the vas, you risk snipping off the vessel, yeah",09:41:09,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to avoid injury and maintain function.,3
"if you do it correctly, there should be a nice little septum here between right and left SV",09:48:03,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to preserve their integrity.,3
"if you have to throw sutures in there, throw sutures in there... whatever needs to be done",15:24:31,18,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools carefully for precise needle handling and secure knot tying.,3
"in here, vessel you see it?",16:28:30,13,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the neurovascular structures carefully to preserve function and minimize bleeding.,2
is something holding the bladder back?,18:04:09,13,,,,,,,urinary_tract,urinary_tract,True,True,Focus on preserving the urinary tract integrity during dissection.,2
it really exposes the medial surface so you can find the SV,11:07:47,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to avoid injury during dissection.,2
its fine turn there,19:16:28,29,,,,rotate_turn,rotate_turn,True,,,,True,Rotate the camera slowly to maintain orientation and avoid disorientation.,2
"its ok, make the correction",16:41:56,8,None,None,True,,,,,,,True,Keep your focus steady and prepare for the next instrument insertion.,2
its right in here...youre going outside of it,17:55:23,12,,,,,,,urinary_tract,urinary_tract,True,True,Handle the urinary tract with care to prevent any inadvertent injury.,2
its still bleeding,14:42:23,22,,,,,,,urinary_tract,urinary_tract,True,True,Keep the urinary tract clearly visible and avoid unnecessary manipulation.,2
its still bleeding  you gotta stop that thing,14:52:23,26,,,,interrupt_action,interrupt_action,True,prostate,prostate,True,True,Pause and reassess your approach to the prostate before proceeding.,2
"just a little bit towards the bladder, a touch",09:19:37,1,,,,,,,urinary_tract,urinary_tract,True,True,Maintain clear visualization of the urinary tract for precise dissection.,2
just buzz it,12:02:02,28,,,,coagulate,coagulate,True,,,,True,Coagulate cautiously to control bleeding without damaging surrounding tissues.,3
"just drop it, just push against it so its at the apex, yup nice, I agree with you",14:47:12,15,,,,release_instrument,release_instrument,True,,,,True,Release the instrument slowly to maintain tissue safety and avoid sudden movements.,2
just get to the medial of it,09:46:48,21,,,,navigate_position,navigate_position,True,,,,True,Continue adjusting your position smoothly to maintain optimal surgical view.,2
just open up...,09:34:15,33,,,,open_spread,open_spread,True,,,,True,Open and spread carefully to maintain clear visualization and avoid tissue injury.,4
just remember to stay right on the surface of the adenoma,16:23:18,12,,,,,,,miscellaneous,miscellaneous,True,True,Maintain clear visualization and proceed cautiously with all miscellaneous tissues.,3
just the tip of your scissors okay?,14:49:51,26,surgical_scissors,surgical_scissors,True,,,,,,,True,Use the surgical scissors carefully to avoid inadvertent tissue injury.,3
just the vas,15:52:36,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Handle the seminal vesicle and vas carefully to avoid injury.,3
just the vas okay?,15:52:34,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Maintain clear visualization of the seminal vesicle and vas for precise dissection.,3
leave it there,17:02:08,13,,,,release_instrument,release_instrument,True,,,,True,Release the instrument smoothly to avoid sudden movements.,3
"left hand , that corner is always left hand",19:09:53,29,hand_control,hand_control,True,,,,,,,True,Keep your hand control steady to ensure precise instrument movement.,2
left hand comes out,09:21:57,17,hand_control,hand_control,True,,,,,,,True,Keep your hand control steady and ready for precise instrument manipulation.,2
left hand towards left lower quadrant,09:04:30,17,hand_control,hand_control,True,,,,,,,True,Use the hand control smoothly to maintain precise instrument movement.,2
"let go of the needle, you need to be aware of where the suture is where the needle is, all that good stuff. lets go",17:00:20,22,suturing_tools,suturing_tools,True,,,,,,,True,Check suture integrity and prepare for precise needle placement.,3
"let go of what you have holding there, its just not effective retraction. hold the tissue a little closer to the vein",14:46:21,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Protect the vascular neurovascular structures carefully to preserve function and prevent bleeding.,2
"let me just look at the prostate... left side ___ tissue, right side ___ tissue",11:48:38,5,,,,,,,prostate,prostate,True,True,Keep the prostate well exposed for accurate and safe dissection.,2
lets find your catheter now,09:58:20,33,None,None,True,,,,,,,True,Ensure all instruments are ready before proceeding with the next step.,2
lets go,14:52:35,26,,,,,,,prostate,prostate,True,True,Keep the prostate well visualized to guide precise dissection steps.,2
lets see if we can get the upper vein first,15:09:33,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Identify and preserve the neurovascular structures to maintain erectile function.,2
lets travel on the bladder,19:09:08,29,,,,navigate_position,navigate_position,True,urinary_tract,urinary_tract,True,True,Navigate carefully to maintain optimal positioning around the urinary tract.,3
lift up with your right hand a little bit,09:22:08,17,hand_control,hand_control,True,,,,,,,True,Keep your hand control steady and ready for the next instrument action.,2
