Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
"just a little bit towards the bladder, a touch",[NONE],[NONE],[bladder],"('[NONE]', '[NONE]', '[bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder]

Feedback:
",Focus on the bladder for the next step.
"so make sure... so one thing, look at your left hand... my pet peeve is... so don't stretch it so much, you're destroying your natural elasticity of your bladder neck, okay?",[left hand],"[make sure, look, don't stretch]",[bladder neck],"('[left hand]', ""[make sure, look, don't stretch]"", '[bladder neck]')","IAT Triplet:
instrument: [left hand], action: [make sure, look, don't stretch], tissue: [bladder neck]

Feedback:
",Ensure the left hand doesn't stretch the bladder neck.
just buzz what's on the bladder neck that's oozing... well both... there's two things that are oozing... you want to minimize these distractions,[electrocautery],"[buzz, minimize]",[bladder neck],"('[electrocautery]', '[buzz, minimize]', '[bladder neck]')","IAT Triplet:
instrument: [electrocautery], action: [buzz, minimize], tissue: [bladder neck]

Feedback:
",Minimize buzzing with electrocautery at the bladder neck.
"and then on the anterior bladder neck, take care of that",[NONE],[take care],[anterior bladder neck],"('[NONE]', '[take care]', '[anterior bladder neck]')","IAT Triplet:
instrument: [NONE], action: [take care], tissue: [anterior bladder neck]

Feedback:
",Take care around the anterior bladder neck.
"I'm glad you're cautious, but you're like... barely touching the tissue",[NONE],[NONE],[tissue],"('[NONE]', '[NONE]', '[tissue]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [tissue]

Feedback:
",Focus on the tissue for precise manipulation.
"so stick with something for a little bit, maximize what you can do there",[NONE],"[stick, maximize]",[NONE],"('[NONE]', '[stick, maximize]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stick, maximize], tissue: [NONE]

Feedback:
",Maximize precision and control in your movements.
so there on that side... you're going to have to come back a little bit,[NONE],[come back a little bit],[NONE],"('[NONE]', '[come back a little bit]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [come back a little bit], tissue: [NONE]

Feedback:
",Come back a little bit to improve your positioning.
stay there,[NONE],[stay],[NONE],"('[NONE]', '[stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [NONE]

Feedback:
",Maintain your current position.
"yeah, you can, you can... I thought when you were talking about the lateral thing I thought you were talking about the anteiror part",[NONE],[NONE],"[lateral structure, anterior structure]","('[NONE]', '[NONE]', '[lateral structure, anterior structure]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [lateral structure, anterior structure]

Feedback:
",Identify and assess the lateral and anterior structures.
"yeah, you can definitely... I do want you to do the lateral part",[NONE],[do],[lateral structure],"('[NONE]', '[do]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [do], tissue: [lateral structure]

Feedback:
",Proceed with the action on the lateral structure.
"yeah, so that's the problem... okay come back... so I'm going to take over for a quick second, okay?",[NONE],[come back],[NONE],"('[NONE]', '[come back]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [come back], tissue: [NONE]

Feedback:
",Return to a neutral position.
"be careful, that was a very aggressive grab, no need for that",[graspers],[be careful],[NONE],"('[graspers]', '[be careful]', '[NONE]')","IAT Triplet:
instrument: [graspers], action: [be careful], tissue: [NONE]

Feedback:
",Be careful with the graspers.
so your original bladder neck wasn't that big and you kind of stretched it out quite aggressively in the very beginning... so just be aware of that,[NONE],[be aware],[bladder neck],"('[NONE]', '[be aware]', '[bladder neck]')","IAT Triplet:
instrument: [NONE], action: [be aware], tissue: [bladder neck]

Feedback:
",Be aware of the bladder neck.
"so now you got to change your angle, yeah? you need to go under the prostate or you're going to get into the bladder",[NONE],"[change, go under]","[prostate, bladder]","('[NONE]', '[change, go under]', '[prostate, bladder]')","IAT Triplet:
instrument: [NONE], action: [change, go under], tissue: [prostate, bladder]

Feedback:
",Adjust your approach to go under the prostate and bladder.
"other way, other way... under the prostate, okay?",[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for precise dissection.
"if you go almost 90 degree... one second, let me show you",[NONE],[go almost 90 degrees],[NONE],"('[NONE]', '[go almost 90 degrees]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go almost 90 degrees], tissue: [NONE]

Feedback:
",Adjust your angle to nearly 90 degrees.
this is bladder,[NONE],[NONE],[bladder],"('[NONE]', '[NONE]', '[bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder]

Feedback:
",Focus on the bladder for the next step.
so if you go down like this you'll going to buttonhole the bladder,[NONE],[NONE],[bladder],"('[NONE]', '[NONE]', '[bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder]

Feedback:
",Focus on the bladder for the next step.
you should be... you're under the prostate now,[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for precise dissection.
"you got to be able to see, too... your instrument is blocking, the shaft is blocking","[instrument, shaft]",[NONE],[NONE],"('[instrument, shaft]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [instrument, shaft], action: [NONE], tissue: [NONE]

Feedback:
",Position the instrument shaft carefully for optimal access.
"your angle is barely correct, so more under the prostate",[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for the next step.
"you could see the extent of the bladder, right? down there?",[NONE],[NONE],[bladder],"('[NONE]', '[NONE]', '[bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder]

Feedback:
",Focus on the bladder for the next step.
"okay, so widen that out... medial... go to the other side... keep that in tact, we'll clip that",[NONE],"[widen, go, keep]",[NONE],"('[NONE]', '[widen, go, keep]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [widen, go, keep], tissue: [NONE]

Feedback:
",Widen and keep going.
"you see that, right? you can actually even see how thin your posterior bladder neck is... yeah",[NONE],[NONE],[posterior bladder neck],"('[NONE]', '[NONE]', '[posterior bladder neck]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [posterior bladder neck]

Feedback:
",Focus on the posterior bladder neck.
the other visual cues which you might see which you don't necessarily see here is kind of striated fibers of the detruser fibers,[NONE],[NONE],[detrusor fibers],"('[NONE]', '[NONE]', '[detrusor fibers]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [detrusor fibers]

Feedback:
",Focus on the detrusor fibers for optimal visualization.
"that's another warning sign that your getting into the bladder... but here you don't see that, you just see just the thinness of the posterior bladder",[NONE],[NONE],"[bladder, posterior bladder]","('[NONE]', '[NONE]', '[bladder, posterior bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder, posterior bladder]

Feedback:
",Focus on the posterior bladder area.
so inch a little bit towards the prostate... especially that medial aspect of it,[NONE],[inch a little bit],"[prostate, medial aspect of prostate]","('[NONE]', '[inch a little bit]', '[prostate, medial aspect of prostate]')","IAT Triplet:
instrument: [NONE], action: [inch a little bit], tissue: [prostate, medial aspect of prostate]

Feedback:
",Inch a little bit on the medial aspect of the prostate.
"okay, leave the lateral... we're going to clip that",[NONE],[leave],[NONE],"('[NONE]', '[leave]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [leave], tissue: [NONE]

Feedback:
",Proceed to the next step in the procedure.
"you can grab that, yeah... just be gentle with it",[NONE],"[grab, be gentle]",[NONE],"('[NONE]', '[grab, be gentle]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, be gentle], tissue: [NONE]

Feedback:
",Be gentle while grabbing.
"closer to the prostate here, you're still too close to the bladder",[NONE],[NONE],"[prostate, bladder]","('[NONE]', '[NONE]', '[prostate, bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate, bladder]

Feedback:
",Focus on the prostate and bladder for the next steps.
"by this time you're less likely you're going to get into the prostate, but you do have to scoop underneath",[NONE],[scoop],[prostate],"('[NONE]', '[scoop]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [scoop], tissue: [prostate]

Feedback:
",Scoop the prostate carefully.
"so here... stop for a second... so rather than grabbing what you're grabbing there, I'd rather you just retract down",[retractor],"[stop, retract down]",[NONE],"('[retractor]', '[stop, retract down]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [stop, retract down], tissue: [NONE]

Feedback:
",Stop retracting down with the retractor.
"come in a little bit more and retract down, does that make sense?",[retractor],"[come in, retract down]",[NONE],"('[retractor]', '[come in, retract down]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [come in, retract down], tissue: [NONE]

Feedback:
",Use the retractor to gently retract down.
"so, stop for a second... so you see those... pur your retraction there, that's fine",[retractor],"[stop, put]",[NONE],"('[retractor]', '[stop, put]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [stop, put], tissue: [NONE]

Feedback:
",Stop using the retractor for now.
but these fibers are bladder fibers... these fibers here,[NONE],[NONE],[bladder fibers],"('[NONE]', '[NONE]', '[bladder fibers]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder fibers]

Feedback:
",Focus on the bladder fibers for precise dissection.
so your left hand is not quite robust enough,[left hand],[NONE],[NONE],"('[left hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [NONE], tissue: [NONE]

Feedback:
",Adjust your left hand position for optimal control.
so those are exactly the detruser fibers I was talking about,[NONE],[NONE],[detrusor fibers],"('[NONE]', '[NONE]', '[detrusor fibers]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [detrusor fibers]

Feedback:
",Focus on the detrusor fibers for precise dissection.
"solve that bleeding problem, it's going to keep bleeding until you fix it...",[NONE],"[solve, fix]",[NONE],"('[NONE]', '[solve, fix]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [solve, fix], tissue: [NONE]

Feedback:
",Focus on resolving the current issue efficiently.
"plus you have way too much char on your instrument, so it's just desecrating the char and you're not really fixing your problem",[instrument],[NONE],[NONE],"('[instrument]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [instrument], action: [NONE], tissue: [NONE]

Feedback:
",Use the instrument precisely for the next step.
keep going,[NONE],[keep going],[NONE],"('[NONE]', '[keep going]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep going], tissue: [NONE]

Feedback:
",Continue with the current procedure.
open and spread,[NONE],"[open, spread]",[NONE],"('[NONE]', '[open, spread]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open, spread], tissue: [NONE]

Feedback:
","Open and spread carefully, maintaining control."
"open up wide... before you do that... just open up either side, you're still in a hole",[NONE],"[open up wide, open up either side]",[NONE],"('[NONE]', '[open up wide, open up either side]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open up wide, open up either side], tissue: [NONE]

Feedback:
",Ensure clear visualization and maintain a steady field.
"not sure if putting that clip there might help or address this bleeder, it's such a distractor",[clip],[NONE],[vein],"('[clip]', '[NONE]', '[vein]')","IAT Triplet:
instrument: [clip], action: [NONE], tissue: [vein]

Feedback:
",Position the clip carefully on the vein.
"pinpoint... that's not going to work... pinpoint, pinpoint... coagulation.. right there",[coagulation tool],"[pinpoint, coagulate]",[NONE],"('[coagulation tool]', '[pinpoint, coagulate]', '[NONE]')","IAT Triplet:
instrument: [coagulation tool], action: [pinpoint, coagulate], tissue: [NONE]

Feedback:
",Use the coagulation tool to pinpoint and coagulate the target area precisely.
others... yeah just open that up a little bit more too,[NONE],[open up a little bit more],[NONE],"('[NONE]', '[open up a little bit more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open up a little bit more], tissue: [NONE]

Feedback:
",Open up a little bit more.
"okay, that's enough... you go too lateral you're going to get into the pedicles and it's all going to bleed",[NONE],[NONE],[pedicles],"('[NONE]', '[NONE]', '[pedicles]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [pedicles]

Feedback:
",Focus on the pedicles for precise dissection.
fix that,[NONE],[fix],[NONE],"('[NONE]', '[fix]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [fix], tissue: [NONE]

Feedback:
",Clarify the action and tissue before proceeding.
"so I want you to recognize how thin your posterior bladder neck is, okay? without the redirection, that's even with redirection... without the redirection for sure you would've put a hole in there, okay?",[NONE],[recognize],[posterior bladder neck],"('[NONE]', '[recognize]', '[posterior bladder neck]')","IAT Triplet:
instrument: [NONE], action: [recognize], tissue: [posterior bladder neck]

Feedback:
",Recognize the posterior bladder neck carefully.
"need you to recognize that, that is a critical thing",[NONE],[Recognize],[NONE],"('[NONE]', '[Recognize]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Recognize], tissue: [NONE]

Feedback:
",Recognize the current surgical field and adjust your focus accordingly.
I would just grab that with the fourth arm,[fourth arm],[grab],[NONE],"('[fourth arm]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [grab], tissue: [NONE]

Feedback:
",Use the fourth arm to stabilize or retract as needed.
yeah and just keep going,[NONE],[keep going],[NONE],"('[NONE]', '[keep going]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep going], tissue: [NONE]

Feedback:
",Continue with the current procedure.
see if you can just grab,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
"you can start with that, and then... once you free it up a little bit... get a better grab",[NONE],"[start, free up, get a better grab]",[NONE],"('[NONE]', '[start, free up, get a better grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start, free up, get a better grab], tissue: [NONE]

Feedback:
",Ensure a secure grip before proceeding.
"it's good, yeah... sweep all that off, since you're here",[NONE],[sweep off],[NONE],"('[NONE]', '[sweep off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep off], tissue: [NONE]

Feedback:
",Clarify the target tissue for sweeping.
"that lip of stuff, yeah everything... just get right on",[NONE],[get right on],[NONE],"('[NONE]', '[get right on]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get right on], tissue: [NONE]

Feedback:
",Ensure precise alignment before proceeding.
"perfect, get right on that space... you don't want anything to separate between you and the uh...",[NONE],[get right],[NONE],"('[NONE]', '[get right]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get right], tissue: [NONE]

Feedback:
",Adjust your position to the right.
"so advance, grab more of your SV",[NONE],"[advance, grab more]",[Seminal Vesicles],"('[NONE]', '[advance, grab more]', '[Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [advance, grab more], tissue: [Seminal Vesicles]

Feedback:
",Advance and grab more of the seminal vesicles.
so there's a pool of blood coming you'll have to fix that,[NONE],[fix],[NONE],"('[NONE]', '[fix]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [fix], tissue: [NONE]

Feedback:
",Clarify the action and tissue involved before proceeding.
release it on the medial aspect,[NONE],[release],[NONE],"('[NONE]', '[release]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [release], tissue: [NONE]

Feedback:
",Ensure all instruments are secure before proceeding.
"so advance your... yeah, advance... good",[NONE],[advance],[NONE],"('[NONE]', '[advance]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [advance], tissue: [NONE]

Feedback:
","Advance carefully, ensuring clear visualization of the surgical field."
"I would advance with your fourth arm, you're too deep in there without better retraction","[fourth arm, retractor]",[advance],[NONE],"('[fourth arm, retractor]', '[advance]', '[NONE]')","IAT Triplet:
instrument: [fourth arm, retractor], action: [advance], tissue: [NONE]

Feedback:
",Advance the fourth arm retractor carefully.
"yeah, you could probably get rid of the vas now",[NONE],[get rid],[vas deferens],"('[NONE]', '[get rid]', '[vas deferens]')","IAT Triplet:
instrument: [NONE], action: [get rid], tissue: [vas deferens]

Feedback:
",Remove the vas deferens carefully.
"but don't go past point, if you past point you risk...",[NONE],[don't go past point],[NONE],"('[NONE]', ""[don't go past point]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [don't go past point], tissue: [NONE]

Feedback:
",Ensure you don't go past the designated point.
"sweep that, you can sweep that off",[NONE],[sweep],[NONE],"('[NONE]', '[sweep]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep], tissue: [NONE]

Feedback:
",Ensure sweeping motion is controlled and precise.
"if you cut past point on the vas, you risk snipping off the vessel, yeah",[NONE],[NONE],"[vas deferens, vessel]","('[NONE]', '[NONE]', '[vas deferens, vessel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vas deferens, vessel]

Feedback:
",Focus on the vas deferens vessel.
"yeah, so the goal is to eventually grab the tip of the SV, you may not be able to do that immediately but grab whatever you can and then lift",[graspers],"[grab, lift]",[Seminal Vesicles],"('[graspers]', '[grab, lift]', '[Seminal Vesicles]')","IAT Triplet:
instrument: [graspers], action: [grab, lift], tissue: [Seminal Vesicles]

Feedback:
",Use the graspers to gently grab and lift the seminal vesicles.
"okay, now sweep everything else laterally",[NONE],[sweep laterally],[NONE],"('[NONE]', '[sweep laterally]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep laterally], tissue: [NONE]

Feedback:
",Sweep laterally with precision and awareness of surrounding structures.
"nice and gentle, don't want to rip off that vessel that's always there",[NONE],[NONE],[vessel],"('[NONE]', '[NONE]', '[vessel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vessel]

Feedback:
",Ensure vessel integrity is maintained.
so regrab your... your fourth arm is not grabbing anything now,[fourth arm],[regrab],[NONE],"('[fourth arm]', '[regrab]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [regrab], tissue: [NONE]

Feedback:
",Regrab with the fourth arm when ready.
"so I thought you already cut the SV, what is that? is that part of the vas that you regrabbed?",[NONE],[NONE],"[Seminal Vesicles, vas deferens]","('[NONE]', '[NONE]', '[Seminal Vesicles, vas deferens]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [Seminal Vesicles, vas deferens]

Feedback:
",Focus on the seminal vesicles and vas deferens.
oh is that the vas from the other side? it's possible,[NONE],[NONE],[vas deferens],"('[NONE]', '[NONE]', '[vas deferens]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vas deferens]

Feedback:
",Focus on the vas deferens.
"okay, so grab that",[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
buzz that thing before it sinks away... the red,[electrocautery],[buzz],[NONE],"('[electrocautery]', '[buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [NONE]

Feedback:
",Use electrocautery to buzz when tissue is identified.
"just be careful buzzing next to his sucker, because it will conduct","[buzzing tool, sucker]",[be careful buzzing],[NONE],"('[buzzing tool, sucker]', '[be careful buzzing]', '[NONE]')","IAT Triplet:
instrument: [buzzing tool, sucker], action: [be careful buzzing], tissue: [NONE]

Feedback:
",Be careful buzzing with the tool.
"so I usually clip that, I usually clip this thing laterally here",[clip],[NONE],[NONE],"('[clip]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [clip], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the clip is ready for use when needed.
"if you can give him a nice window, even better... if not, just give him that to clip",[NONE],"[give, give]",[NONE],"('[NONE]', '[give, give]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [give, give], tissue: [NONE]

Feedback:
",Clarify the action and specify the instrument or tissue involved.
"okay, don't rip it off, gentle",[NONE],"[dont rip, be gentle]",[NONE],"('[NONE]', '[dont rip, be gentle]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [dont rip, be gentle], tissue: [NONE]

Feedback:
",Be gentle to avoid any unnecessary damage.
just cut,[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
"sure... do one thing and then cut it cold, don't do both",[NONE],"[do one thing, cut]",[NONE],"('[NONE]', '[do one thing, cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [do one thing, cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
make sure that doesn't bleed,[NONE],[make sure],[NONE],"('[NONE]', '[make sure]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make sure], tissue: [NONE]

Feedback:
",Ensure all systems are functioning properly.
"okay, you got to fix your retraction though, you haven't touched your retraction in a while",[retractor],[fix],[NONE],"('[retractor]', '[fix]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [fix], tissue: [NONE]

Feedback:
",Use the retractor to stabilize the area.
hold that up,[NONE],[hold up],[NONE],"('[NONE]', '[hold up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [hold up], tissue: [NONE]

Feedback:
",Maintain current position and await further instructions.
release whatever is attached there,[NONE],[release],[NONE],"('[NONE]', '[release]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [release], tissue: [NONE]

Feedback:
",Ensure all instruments are secure before proceeding.
"I don't think that's anything, you can just burn through that probably",[NONE],[burn through],[NONE],"('[NONE]', '[burn through]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [burn through], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with cauterization.
"okay, maybe there is a blood vessel or two in that...",[NONE],[NONE],[blood vessel],"('[NONE]', '[NONE]', '[blood vessel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [blood vessel]

Feedback:
",Ensure hemostasis around the blood vessel.
"okay, that's good for now... let's go to the other side",[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain awareness of the surgical field.
"so get right on it... so peel off that stuff off of it, expose the medial aspect of the SV first",[NONE],"[get right, peel off, expose]","[medial aspect, Seminal Vesicles]","('[NONE]', '[get right, peel off, expose]', '[medial aspect, Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [get right, peel off, expose], tissue: [medial aspect, Seminal Vesicles]

Feedback:
",Expose the medial aspect of the Seminal Vesicles.
"if you do it correctly, there should be a nice little septum here between right and left SV",[NONE],[NONE],"[septum, right Seminal Vesicle, left Seminal Vesicle]","('[NONE]', '[NONE]', '[septum, right Seminal Vesicle, left Seminal Vesicle]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [septum, right Seminal Vesicle, left Seminal Vesicle]

Feedback:
",Focus on the septum and seminal vesicles for precise dissection.
"okay, so grab that",[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
"get the medial stuff first, all the medial stuff first; don't worry about the lateral stuff yet",[NONE],"[get first, don't worry]",[NONE],"('[NONE]', ""[get first, don't worry]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get first, don't worry], tissue: [NONE]

Feedback:
",Focus on the task at hand.
