Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,valid,generated_feedback,alignment_score
Right off the nerve,09:38:49,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
See once you do that how the vein just pushes down...if youre on the plane thats right on top of the vein thats where you want to be,15:56:30,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
So a few things you can try to show yourself....grab this stitch pull it down,17:47:36,12,suturing_tools,suturing_tools,True,traction_retract,traction_retract,True,,,,True,Apply gentle traction with the suturing tools.,3
So things to work on while you're doing this is it's just simple...Minor adjustments to rock your needle back.,17:49:11,12,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
Still too much mucosa.,17:46:33,12,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,True,Avoid contact with the gastrointestinal tract.,2
Sweep sweep it down.,16:01:33,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,True,Perform sweeping maneuvers with precision.,4
The type of bleeding youre gonna run into when you get down there are...which is super annoying so its better to identify them and buzz them,15:57:52,32,,,,coagulate,coagulate,True,,,,True,Proceed with coagulation as needed.,3
"Turn more, Yep.",17:52:13,12,,,,rotate_turn,rotate_turn,True,,,,True,"Rotate and turn carefully, maintaining awareness of surrounding structures.",4
"What is going on, where did this needle come from?",18:19:10,14,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
Why is there a third needle?,18:19:21,14,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
a little closer to the gland,15:07:19,18,,,True,,,,,,,True,Proceed with the next step when ready.,2
"again if you need to do a sharp turn grab the needle closer, and you're going to run out of the needle you can always let go.",17:01:30,22,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"again, you're in this very compromised position... come from the sides and narrow down on it",14:33:20,2,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
all of these come down this..your arterys here and your veins here,15:57:08,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,3
"all the way down and in and that will allow you when you clip ureter, youre gonna move the kidney UP completely",15:42:04,10,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract area for precise navigation.,2
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,09:13:59,1,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,2
"alright, I think you are almost done there",10:37:45,1,energy_device,energy_device,True,,,,,,,True,Position the energy device precisely for the next step.,2
"alright, do you remember how I hold the SV's up?",09:50:19,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and preserve the seminal vesicle and vas structures carefully.,3
"alright, maybe come to the other side now",14:46:50,2,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,2
always inspect the prostate so we have plenty of tissue on the right side and less on the left,15:28:50,3,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,2
and buzz right above the vein...dont buzz the vein but,15:57:41,32,energy_device,energy_device,True,coagulate,coagulate,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Use the energy device to coagulate the vascular neurovascular structures carefully.,2
"and ideally, you can burn some of that tissue because there are lymphatic channels there",09:26:28,21,energy_device,energy_device,True,,,,,,,True,Position the energy device for precise application.,3
and im not a real big fan of you grabbing your needle and taking it off screen okay?,10:26:08,16,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"and it holds the suture in place, that's how you cinch it down",18:57:05,29,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
and on the bladder we travel a little bit more,18:58:13,29,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract.,2
"and open up the space, open it up",09:19:35,33,,,,open_spread,open_spread,True,,,,True,Open and spread carefully.,4
"and then on the anterior bladder neck, take care of that",09:20:51,1,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
and very little mucosa you could take just the edge,15:48:51,3,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,2
any leaks? anything from the hole that you made?,10:24:03,16,,,,,,,,,True,True,Proceed with the next step when ready.,2
are you sure you're not too far from the prostate?,14:21:26,4,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,3
"at some point, you want to work on the other side too of the packet to narrow it down. you don't want to keep going forever, you just want to narrow it down so narrow it down there",09:30:49,33,,,,adjust_fix,adjust_fix,True,,,,True,Adjust and fix as needed.,2
back up,16:06:37,32,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,2
back up with your camera,14:34:07,18,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,2
be careful dont avulse that vein,16:00:08,6,,,,ensure_safety,ensure_safety,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure safety around the vascular and neurovascular structures.,4
be careful you're not grabbing the nerve itself,14:55:01,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
"be careful, don't rip the prostate",14:31:37,4,,,,ensure_safety,ensure_safety,True,prostate,prostate,True,True,Ensure safety around the prostate.,3
"be careful, that was a very aggressive grab, no need for that",09:26:10,1,,,,ensure_safety,ensure_safety,True,,,,True,Ensure safety protocols are followed.,3
"because if it's not bone dry, and then you throw your stitch and then it's still bleeding, then you're going to be buzzing all this stuff and then you're going to end up burning your stitch",14:56:27,2,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools for the next step.,2
because if youre not on the adenoma you run risk,16:03:16,12,,,,,,,miscellaneous,miscellaneous,True,True,Ensure careful handling of the miscellaneous tissue.,2
"because it's very easy to deviate from the surface of the adenoma and end up getting through the capsule, and you know that's just really annoying... and you don't want to be annoying",14:04:51,2,,,,,,,miscellaneous,miscellaneous,True,True,Focus on the miscellaneous tissue area for any necessary adjustments.,2
because you are wasting too much urethra real estate,18:58:46,29,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
below the ureter ...there,14:40:56,10,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
bipolar that,15:59:49,8,energy_device,energy_device,True,,,,,,,True,Position the energy device for precise application.,3
break your die stitch,17:03:38,22,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"but there's more SV, you see that?",09:50:12,21,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and expose the seminal vesicle and vas deferens.,3
buzz,17:16:09,13,energy_device,energy_device,True,coagulate,coagulate,True,,,,True,Use the energy device to coagulate effectively.,4
"buzz all of that, ____",11:53:49,28,,,,coagulate,coagulate,True,,,,True,Proceed with coagulation as needed.,4
buzz it,09:27:02,24,,,,coagulate,coagulate,True,,,,True,Proceed with coagulation as needed.,4
"buzz that, buzz that",14:16:25,2,,,,coagulate,coagulate,True,,,,True,Proceed with coagulation as needed.,4
buzz this thing,16:08:25,32,energy_device,energy_device,True,coagulate,coagulate,True,,,,True,Use the energy device to coagulate effectively.,4
"can I see that window, lets see that window a little more",15:45:21,6,energy_device,energy_device,True,,,,,,,True,Position the energy device precisely for the next step.,2
can I see where I'm going?,09:16:47,24,energy_device,energy_device,True,,,,,,,True,Position the energy device for precise application.,2
"can I see... , I'm trying to grab",09:16:58,24,energy_device,energy_device,True,,,,,,,True,Use the energy device with precision when needed.,2
"careful what you grab too, that's okay, thats probably the most I would grab because you dont want to grab the ureter accidentally.",09:19:57,33,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract.,3
clean your hook,16:06:25,8,energy_device,energy_device,True,,,,,,,True,Position the energy device for precise application.,2
closer to the bladder,16:30:28,13,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
closer to the prostate,14:39:50,15,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,3
"coag first, and then sweep",14:16:37,2,energy_device,energy_device,True,coagulate,coagulate,True,,,,True,Use the energy device to coagulate the targeted area carefully.,3
cold cold,14:48:35,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and expose the seminal vesicle and vas deferens clearly.,2
come a little bit closer to the adenoma,14:26:10,2,,,,,,,miscellaneous,miscellaneous,True,True,Focus on the miscellaneous tissue for any unexpected findings.,2
cut carefully,15:18:57,10,,,,cut_divide,cut_divide,True,,,,True,Proceed with cutting as needed.,3
cut down here,14:41:26,15,,,,cut_divide,cut_divide,True,,,,True,Proceed with cutting as planned.,4
cut tourniquet also,15:18:21,10,,,,cut_divide,cut_divide,True,,,,True,Proceed with cutting as planned.,3
did you get the needle out?,15:29:01,15,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"do you want me to expose the urethra to you, to show you where you need to exit",19:07:30,29,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract.,2
"doesn't need to be perfect, just grab it and bring it in",08:55:29,19,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,3
"don't get closer to the prostate, just stay in that level",09:58:31,33,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,1
don't pull too hard there okay because if you pull hard enough it will fall right through and you will have a hole in your urethra,17:03:03,22,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
"don't sweep underneath there, just do above, it's a nice juicy packet there",09:25:56,21,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,True,Perform sweeping maneuvers with precision.,1
dont break the stitch ok?,12:17:46,11,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
dont go too far,16:37:57,22,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,2
"dont pull on it, you poked a hole in a vein",15:44:27,6,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,2
dont rip that,15:39:06,22,,,,ensure_safety,ensure_safety,True,,,,True,Ensure safety protocols are followed.,2
"especially when you see those clear vessels, those are lymphatics, yeah?",09:30:20,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,3
figure out where the vein is going,15:56:00,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
find the ureter first,14:39:41,10,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
from the left side do the sweep,14:43:18,26,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,True,Perform sweeping maneuvers with precision.,4
get more tissue there,08:52:03,19,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,2
get mucosa,10:19:00,16,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,True,Avoid contact with the gastrointestinal tract.,1
get those fibers off,17:16:59,29,,,,dissect_clean,dissect_clean,True,,,,True,Proceed with careful dissection.,3
get those fibers off,17:17:04,29,,,,dissect_clean,dissect_clean,True,,,,True,Proceed with careful dissection.,3
get to the psoas and then work youre way,16:41:30,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,True,Focus on the retroperitoneal structures for precise dissection.,3
"give it to her straight on, not like that",12:32:54,31,,,,continue_action,continue_action,True,,,,True,Continue with the current action.,2
go a little anterior 12 oclock,15:52:29,12,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
go a little higher then,11:08:27,31,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
go a little higher; let me show you one sec,14:31:30,10,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
"go ahead and open here, start opening here, go",11:18:30,25,,,,open_spread,open_spread,True,,,,True,Open and spread carefully.,4
"go deep, go inside, not down, forward",09:47:14,21,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
go in the urethra,18:59:43,29,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract area for precise navigation.,3
gonadal right? lets find ureter,15:51:10,8,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
good,09:18:05,17,,,,,,,,,True,True,Proceed with the next step when ready.,2
good,14:49:28,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and preserve the seminal vesicle and vas structures carefully.,3
good,14:50:58,26,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,2
good take it,19:01:26,29,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,3
"good, keep opening, that's the right strategy, you will find the ureter that way uh huh",09:19:45,33,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
"good, perfect.",17:52:09,12,,,,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,True,"Maintain awareness of the fat, fascial, and peritoneal planes.",3
"good, what are you going to do with your fourth arm?",10:13:48,16,auxiliary_arm,auxiliary_arm,True,,,,,,,True,Position the auxiliary arm for optimal support.,2
grab,19:00:26,29,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,4
grab,19:18:57,29,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,4
"grab here, grab here",09:09:46,17,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,3
grab it,14:52:04,26,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,3
grab right here and pull it up,10:11:11,16,,,,traction_retract,traction_retract,True,,,,True,Apply gentle traction to improve visibility.,3
grab that leaflet,14:52:16,26,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,3
grab the artery,15:34:51,10,,,,grip_hold,grip_hold,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Grip and hold the vascular neurovascular structures securely.,3
hang on for a second,13:55:09,4,,,,grip_hold,grip_hold,True,prostate,prostate,True,True,Grip and hold the prostate securely.,2
"here it's very high risk of going too low, and then you suddenly have your SV's, so if you can, tips should be pointing... I think you're...",14:26:38,2,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,2
hold it closer to the vein,14:46:33,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,3
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",09:50:29,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,3
hook will be good idea now,14:58:16,10,energy_device,energy_device,True,,,,,,,True,Use the energy device with precision when needed.,2
how do you break a stitch?,17:03:53,22,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
i want to get the tissue off the vein,14:46:31,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,2
i want you to be right off the vein,14:42:13,22,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract.,2
i would come closer to the prostate,14:39:56,15,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,3
i wouldnt take the vas yet,11:08:10,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas area.,2
ideally a little bit close about halfway you came out and where the urethra edge is,19:14:33,29,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract area for precise navigation.,3
"if you cut past point on the vas, you risk snipping off the vessel, yeah",09:41:09,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and expose the seminal vesicle and vas deferens clearly.,2
"if you do it correctly, there should be a nice little septum here between right and left SV",09:48:03,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,3
"if you got to clean, go ahead and clean, I can barely see what's going on",11:13:29,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,2
"if you have to throw sutures in there, throw sutures in there... whatever needs to be done",15:24:31,18,suturing_tools,suturing_tools,True,,,,,,,True,Prepare the suturing tools for the next step.,3
if you pull vessel loop of the other vein up and see if you can get stapler in that space...,15:19:21,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,2
"in here, vessel you see it?",16:28:30,13,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,3
instead of grabbing it i put L hand inside,16:27:57,9,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
is that a part of sem down there?,15:49:40,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and preserve the seminal vesicle and vas deferens.,2
is that all done? you can't take more than that?,14:46:34,2,,,True,,,,,,,True,Proceed with the next step when ready.,2
is that ureter or gonadal? its going in the gonadal direction,10:17:21,11,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract.,2
it really exposes the medial surface so you can find the SV,11:07:47,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and expose the seminal vesicle and vas deferens clearly.,3
its fine turn there,19:16:28,29,,,,rotate_turn,rotate_turn,True,,,,True,Rotate carefully to maintain control and avoid unnecessary strain.,3
its right in here...youre going outside of it,17:55:23,12,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,2
its still bleeding,14:42:23,22,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,2
"just a little bit towards the bladder, a touch",09:19:37,1,,,,,,,urinary_tract,urinary_tract,True,True,Focus on the urinary tract for precise dissection.,3
"just be careful, you're on the verge of tear, if not already torn; this is your neurovascular bundle",10:32:51,1,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
"just drop it, just push against it so its at the apex, yup nice, I agree with you",14:47:12,15,,,,release_instrument,release_instrument,True,,,,True,Ensure the instrument is safely released.,3
just get to the medial of it,09:46:48,21,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
just open up...,09:34:15,33,,,,open_spread,open_spread,True,,,,True,Open and spread carefully.,4
"just the cut edges right there, even less, but that's fine, that's fine.. just take it at the edge",15:48:57,3,,,,grip_hold,grip_hold,True,,,,True,Maintain a steady grip.,2
just the tip of your scissors okay?,14:49:51,26,surgical_scissors,surgical_scissors,True,,,,,,,True,Position the surgical scissors for the next step.,3
just the vas,15:52:36,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,3
just the vas okay?,15:52:34,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Identify and expose the seminal vesicle and vas deferens.,2
keep going lateral,11:02:44,5,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,3
"keep going, open it up",09:47:05,21,,,,open_spread,open_spread,True,,,,True,Open and spread carefully.,4
keep pulling with your left hand,13:48:37,4,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
keep your elbow down so your scissor doesnt fight the elbow,15:31:54,13,surgical_scissors,surgical_scissors,True,,,,,,,True,Position surgical scissors for precise cutting.,2
leave it there,17:02:08,13,,,,release_instrument,release_instrument,True,,,,True,Ensure the instrument is safely released.,3
"left hand , that corner is always left hand",19:09:53,29,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
left hand comes out,09:21:57,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
left hand has to go here,09:23:06,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
left hand towards left lower quadrant,09:04:30,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
"let go of the needle, you need to be aware of where the suture is where the needle is, all that good stuff. lets go",17:00:20,22,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"let go of what you have holding there, its just not effective retraction. hold the tissue a little closer to the vein",14:46:21,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,3
"let me just look at the prostate... left side ___ tissue, right side ___ tissue",11:48:38,5,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,3
lets clean off the tissue off the ves,15:34:49,22,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,3
lets find your catheter now,09:58:20,33,,,True,,,,,,,True,Proceed with the next step when ready.,2
lets go,14:52:35,26,,,,,,,prostate,prostate,True,True,Focus on the prostate for precise dissection.,2
lets look at other vein,15:19:15,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Ensure careful handling around the vascular and neurovascular structures.,2
lets see if we can get the upper vein first,15:09:33,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,2
lets travel a little bit okay?,19:06:00,29,,,,navigate_position,navigate_position,True,,,,True,Navigate to the desired position carefully.,4
lift up with your left hand more,09:20:41,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
lift up with your right hand a little bit,09:22:08,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,2
like if you grab the suture and pull it off screen its fine because the needle is floppy right?,10:26:22,16,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
"like you're, you're picking up your suture line.",18:11:00,12,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
little bit thats it,14:49:35,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,True,Focus on the seminal vesicle and vas.,2
"look up, grab it with your fourth arm",10:06:54,16,auxiliary_arm,auxiliary_arm,True,grip_hold,grip_hold,True,,,,True,Use the auxiliary arm to grip and hold securely.,4
"make sure it's not on the graveyard, ... sometimes it drops under the... here, see... that area's known as the graveyard",14:15:57,3,,,,,,True,,,,True,Proceed with the next step when ready.,1
"make sure you pull the stitch towards you, okay",16:25:32,18,suturing_tools,suturing_tools,True,,,,,,,True,Ensure suturing tools are ready for the next step.,2
make sure you turn the needle out,17:52:59,12,suturing_tools,suturing_tools,True,rotate_turn,rotate_turn,True,,,,True,Rotate the suturing tools carefully to maintain precision.,4
mhm,09:35:25,33,,,True,,,,,,,True,Proceed with the next step when ready.,2
more pressure on the left hand,09:00:37,17,hand_control,hand_control,True,,,,,,,True,Maintain steady control of the hand controls.,3
move the nerve away from him,14:14:56,3,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,True,Maintain awareness of the vascular and neurovascular structures.,3
