dialogue,timestamp,case,cvid,instrument,action,tissue
"be careful, that was a very aggressive grab, no need for that",09:26:10,1,c1_s0_0-48-45.avi,[graspers],[be careful],[NONE]
so your original bladder neck wasn't that big and you kind of stretched it out quite aggressively in the very beginning... so just be aware of that,09:26:18,1,c1_s0_0-48-53.avi,[NONE],[be aware],[bladder neck]
"so now you got to change your angle, yeah? you need to go under the prostate or you're going to get into the bladder",09:26:28,1,c1_s0_0-49-3.avi,[NONE],"[change, go under]","[prostate, bladder]"
"even more, so your angle's gotta be...",09:26:41,1,c1_s0_0-49-16.avi,[NONE],[NONE],[NONE]
"other way, other way... under the prostate, okay?",09:26:44,1,c1_s0_0-49-19.avi,[NONE],[NONE],[prostate]
"if you go almost 90 degree... one second, let me show you",09:26:48,1,c1_s0_0-49-23.avi,[NONE],[go almost 90 degrees],[NONE]
this is bladder,09:26:53,1,c1_s0_0-49-28.avi,[NONE],[NONE],[bladder]
so if you go down like this you'll going to buttonhole the bladder,09:26:54,1,c1_s0_0-49-29.avi,[NONE],[NONE],[bladder]
"I want you to be like that, okay?",09:26:57,1,c1_s0_0-49-32.avi,[NONE],[NONE],[NONE]
you should be... you're under the prostate now,09:27:00,1,c1_s0_0-49-35.avi,[NONE],[NONE],[prostate]
"you got to be able to see, too... your instrument is blocking, the shaft is blocking",09:27:11,1,c1_s0_0-49-46.avi,"[instrument, shaft]",[NONE],[NONE]
"your angle is barely correct, so more under the prostate",09:27:27,1,c1_s0_0-50-2.avi,[NONE],[NONE],[prostate]
"that's exactly... okay, you're fine... but your initial angle was perfect for a bunhole... just be careful about that",09:27:37,1,c1_s0_0-50-12.avi,[NONE],[NONE],[NONE]
"you could see the extent of the bladder, right? down there?",09:27:56,1,c1_s0_0-50-31.avi,[NONE],[NONE],[bladder]
"it extends all the way under there, yes",09:27:59,1,c1_s0_0-50-34.avi,[NONE],[NONE],[NONE]
"okay, so widen that out... medial... go to the other side... keep that in tact, we'll clip that",09:28:05,1,c1_s0_0-50-40.avi,[NONE],"[widen, go, keep]",[NONE]
"you see that, right? you can actually even see how thin your posterior bladder neck is... yeah",09:28:20,1,c1_s0_0-50-55.avi,[NONE],[NONE],[posterior bladder neck]
the other visual cues which you might see which you don't necessarily see here is kind of striated fibers of the detruser fibers,09:28:32,1,c1_s0_0-51-7.avi,[NONE],[NONE],[detrusor fibers]
"that's another warning sign that your getting into the bladder... but here you don't see that, you just see just the thinness of the posterior bladder",09:28:38,1,c1_s0_0-51-13.avi,[NONE],[NONE],"[bladder, posterior bladder]"
so inch a little bit towards the prostate... especially that medial aspect of it,09:29:36,1,c1_s0_0-52-11.avi,[NONE],[inch a little bit],"[prostate, medial aspect of prostate]"
good,09:29:49,1,c1_s0_0-52-24.avi,[NONE],[NONE],[NONE]
"okay, leave the lateral... we're going to clip that",09:29:51,1,c1_s0_0-52-26.avi,[NONE],[leave],[NONE]
"you can grab that, yeah... just be gentle with it",09:29:56,1,c1_s0_0-52-31.avi,[NONE],"[grab, be gentle]",[NONE]
"closer to the prostate here, you're still too close to the bladder",09:30:07,1,c1_s0_0-52-42.avi,[NONE],[NONE],"[prostate, bladder]"
"by this time you're less likely you're going to get into the prostate, but you do have to scoop underneath",09:30:11,1,c1_s0_0-52-46.avi,[NONE],[scoop],[prostate]
"so here... stop for a second... so rather than grabbing what you're grabbing there, I'd rather you just retract down",09:30:21,1,c1_s0_0-52-56.avi,[retractor],"[stop, retract down]",[NONE]
"come in a little bit more and retract down, does that make sense?",09:30:28,1,c1_s0_0-53-3.avi,[retractor],"[come in, retract down]",[NONE]
"so, stop for a second... so you see those... pur your retraction there, that's fine",09:30:32,1,c1_s0_0-53-7.avi,[retractor],"[stop, put]",[NONE]
but these fibers are bladder fibers... these fibers here,09:30:38,1,c1_s0_0-53-13.avi,[NONE],[NONE],[bladder fibers]
"so you want to be here, does that make sense?",09:30:43,1,c1_s0_0-53-18.avi,[NONE],[NONE],[NONE]
so your left hand is not quite robust enough,09:30:50,1,c1_s0_0-53-25.avi,[left hand],[NONE],[NONE]
so those are exactly the detruser fibers I was talking about,09:30:56,1,c1_s0_0-53-31.avi,[NONE],[NONE],[detrusor fibers]
"yeah exactly, so good",09:30:59,1,c1_s0_0-53-34.avi,[NONE],[NONE],[NONE]
"solve that bleeding problem, it's going to keep bleeding until you fix it...",09:32:29,1,c1_s0_0-55-4.avi,[NONE],"[solve, fix]",[NONE]
"plus you have way too much char on your instrument, so it's just desecrating the char and you're not really fixing your problem",09:32:33,1,c1_s0_0-55-8.avi,[instrument],[NONE],[NONE]
keep going,09:32:50,1,c1_s0_0-55-25.avi,[NONE],[keep going],[NONE]
open and spread,09:33:03,1,c1_s0_0-55-38.avi,[NONE],"[open, spread]",[NONE]
good,09:33:08,1,c1_s0_0-55-43.avi,[NONE],[NONE],[NONE]
"open up wide... before you do that... just open up either side, you're still in a hole",09:33:14,1,c1_s0_0-55-49.avi,[NONE],"[open up wide, open up either side]",[NONE]
"not sure if putting that clip there might help or address this bleeder, it's such a distractor",09:33:28,1,c1_s0_0-56-3.avi,[clip],[NONE],[vein]
"pinpoint... that's not going to work... pinpoint, pinpoint... coagulation.. right there",09:33:33,1,c1_s0_0-56-8.avi,[coagulation tool],"[pinpoint, coagulate]",[NONE]
a little bit more,09:33:40,1,c1_s0_0-56-15.avi,[NONE],[NONE],[NONE]
others... yeah just open that up a little bit more too,09:33:44,1,c1_s0_0-56-19.avi,[NONE],[open up a little bit more],[NONE]
"okay, that's enough... you go too lateral you're going to get into the pedicles and it's all going to bleed",09:33:55,1,c1_s0_0-56-30.avi,[NONE],[NONE],[pedicles]
fix that,09:34:01,1,c1_s0_0-56-36.avi,[NONE],[fix],[NONE]
"okay, good for now... good for now",09:34:09,1,c1_s0_0-56-44.avi,[NONE],[NONE],[NONE]
"so I want you to recognize how thin your posterior bladder neck is, okay? without the redirection, that's even with redirection... without the redirection for sure you would've put a hole in there, okay?",09:34:13,1,c1_s0_0-56-48.avi,[NONE],[recognize],[posterior bladder neck]
"need you to recognize that, that is a critical thing",09:34:24,1,c1_s0_0-56-59.avi,[NONE],[Recognize],[NONE]
"for whatever reason, it looks very fibrosed",09:34:34,1,c1_s0_0-57-9.avi,[NONE],[NONE],[NONE]
I would just grab that with the fourth arm,09:34:39,1,c1_s0_0-57-14.avi,[fourth arm],[grab],[NONE]
yeah and just keep going,09:34:43,1,c1_s0_0-57-18.avi,[NONE],[keep going],[NONE]
see if you can just grab,09:35:19,1,c1_s0_0-57-54.avi,[NONE],[grab],[NONE]
"you can start with that, and then... once you free it up a little bit... get a better grab",09:35:32,1,c1_s0_0-58-7.avi,[NONE],"[start, free up, get a better grab]",[NONE]
"hold on one second, can I take a feel? just doesn't look right",09:36:10,1,c1_s0_0-58-45.avi,[NONE],[NONE],[NONE]
"it's good, yeah... sweep all that off, since you're here",09:38:49,1,c1_s0_1-1-24.avi,[NONE],[sweep off],[NONE]
"the medial side, yeah",09:38:53,1,c1_s0_1-1-28.avi,[NONE],[NONE],[NONE]
"that lip of stuff, yeah everything... just get right on",09:38:56,1,c1_s0_1-1-31.avi,[NONE],[get right on],[NONE]
"perfect, get right on that space... you don't want anything to separate between you and the uh...",09:38:59,1,c1_s0_1-1-34.avi,[NONE],[get right],[NONE]
"that's perfect, yeah good",09:39:07,1,c1_s0_1-1-42.avi,[NONE],[NONE],[NONE]
"so advance, grab more of your SV",09:39:10,1,c1_s0_1-1-45.avi,[NONE],"[advance, grab more]",[Seminal Vesicles]
so there's a pool of blood coming you'll have to fix that,09:39:15,1,c1_s0_1-1-50.avi,[NONE],[fix],[NONE]
release it on the medial aspect,09:39:27,1,c1_s0_1-2-2.avi,[NONE],[release],[NONE]
good,09:39:30,1,c1_s0_1-2-5.avi,[NONE],[NONE],[NONE]
"so advance your... yeah, advance... good",09:40:10,1,c1_s0_1-2-45.avi,[NONE],[advance],[NONE]
"I would advance with your fourth arm, you're too deep in there without better retraction",09:40:18,1,c1_s0_1-2-53.avi,"[fourth arm, retractor]",[advance],[NONE]
"yeah, you could probably get rid of the vas now",09:40:40,1,c1_s0_1-3-15.avi,[NONE],[get rid],[vas deferens]
I usually cold cut,09:40:52,1,c1_s0_1-3-27.avi,[NONE],[NONE],[NONE]
"but don't go past point, if you past point you risk...",09:40:55,1,c1_s0_1-3-30.avi,[NONE],[don't go past point],[NONE]
"sweep that, you can sweep that off",09:41:01,1,c1_s0_1-3-36.avi,[NONE],[sweep],[NONE]
"if you cut past point on the vas, you risk snipping off the vessel, yeah",09:41:09,1,c1_s0_1-3-44.avi,[NONE],[NONE],"[vas deferens, vessel]"
"okay, so now what is your next thing?",09:41:18,1,c1_s0_1-3-53.avi,[NONE],[NONE],[NONE]
"yeah, so the goal is to eventually grab the tip of the SV, you may not be able to do that immediately but grab whatever you can and then lift",09:41:24,1,c1_s0_1-3-59.avi,[graspers],"[grab, lift]",[Seminal Vesicles]
"okay, now sweep everything else laterally",09:41:33,1,c1_s0_1-4-8.avi,[NONE],[sweep laterally],[NONE]
"nice and gentle, don't want to rip off that vessel that's always there",09:41:39,1,c1_s0_1-4-14.avi,[NONE],[NONE],[vessel]
so regrab your... your fourth arm is not grabbing anything now,09:41:46,1,c1_s0_1-4-21.avi,[fourth arm],[regrab],[NONE]
"so I thought you already cut the SV, what is that? is that part of the vas that you regrabbed?",09:42:19,1,c1_s0_1-4-54.avi,[NONE],[NONE],"[Seminal Vesicles, vas deferens]"
no? what is that?,09:42:32,1,c1_s0_1-5-7.avi,[NONE],[NONE],[NONE]
oh is that the vas from the other side? it's possible,09:42:35,1,c1_s0_1-5-10.avi,[NONE],[NONE],[vas deferens]
"okay, so grab that",09:42:41,1,c1_s0_1-5-16.avi,[NONE],[grab],[NONE]
"okay, it happens",09:42:45,1,c1_s0_1-5-20.avi,[NONE],[NONE],[NONE]
buzz that thing before it sinks away... the red,09:42:58,1,c1_s0_1-5-33.avi,[electrocautery],[buzz],[NONE]
"good, because as soon as it you let go... you see how it all sinks away?",09:43:03,1,c1_s0_1-5-38.avi,[NONE],[NONE],[NONE]
"just be careful buzzing next to his sucker, because it will conduct",09:43:11,1,c1_s0_1-5-46.avi,"[buzzing tool, sucker]",[be careful buzzing],[NONE]
"whatever you want to do, I don't care",09:43:18,1,c1_s0_1-5-53.avi,[NONE],[NONE],[NONE]
"so I usually clip that, I usually clip this thing laterally here",09:43:57,1,c1_s0_1-6-32.avi,[clip],[NONE],[NONE]
"if you can give him a nice window, even better... if not, just give him that to clip",09:44:07,1,c1_s0_1-6-42.avi,[NONE],"[give, give]",[NONE]
"okay, don't rip it off, gentle",09:44:16,1,c1_s0_1-6-51.avi,[NONE],"[dont rip, be gentle]",[NONE]
you might be in his way,09:44:25,1,c1_s0_1-7-0.avi,[NONE],[NONE],[NONE]
"you are going to be in his way, so you're going to have to...",09:44:42,1,c1_s0_1-7-17.avi,[NONE],[NONE],[NONE]
"sure, you can do that",09:44:47,1,c1_s0_1-7-22.avi,[NONE],[NONE],[NONE]
there's a pumper right there... right there,09:44:50,1,c1_s0_1-7-25.avi,[NONE],[NONE],[NONE]
barely got it... barely got it,09:44:55,1,c1_s0_1-7-30.avi,[NONE],[NONE],[NONE]
still there,09:45:06,1,c1_s0_1-7-41.avi,[NONE],[NONE],[NONE]
"okay, got it",09:45:11,1,c1_s0_1-7-46.avi,[NONE],[NONE],[NONE]
just cut,09:45:27,1,c1_s0_1-8-2.avi,[NONE],[cut],[NONE]
"you've already buzzed it once... I typically don't like buzzing any of this stuff, so if you are, just do a...",09:45:30,1,c1_s0_1-8-5.avi,[NONE],[NONE],[NONE]
"sure... do one thing and then cut it cold, don't do both",09:45:53,1,c1_s0_1-8-28.avi,[NONE],"[do one thing, cut]",[NONE]
make sure that doesn't bleed,09:46:03,1,c1_s0_1-8-38.avi,[NONE],[make sure],[NONE]
"okay, you got to fix your retraction though, you haven't touched your retraction in a while",09:46:05,1,c1_s0_1-8-40.avi,[retractor],[fix],[NONE]
hold that up,09:46:15,1,c1_s0_1-8-50.avi,[NONE],[hold up],[NONE]
release whatever is attached there,09:46:16,1,c1_s0_1-8-51.avi,[NONE],[release],[NONE]
"I don't think that's anything, you can just burn through that probably",09:46:48,1,c1_s0_1-9-23.avi,[NONE],[burn through],[NONE]
"okay, maybe there is a blood vessel or two in that...",09:47:00,1,c1_s0_1-9-35.avi,[NONE],[NONE],[blood vessel]
"that's the go side, you don't...",09:47:02,1,c1_s0_1-9-37.avi,[NONE],[NONE],[NONE]
"okay, that's good for now... let's go to the other side",09:47:23,1,c1_s0_1-9-58.avi,[NONE],[go],[NONE]
so since you already took the...,09:47:36,1,c1_s0_1-10-11.avi,[NONE],[NONE],[NONE]
"so get right on it... so peel off that stuff off of it, expose the medial aspect of the SV first",09:47:45,1,c1_s0_1-10-20.avi,[NONE],"[get right, peel off, expose]","[medial aspect, Seminal Vesicles]"
good,09:48:01,1,c1_s0_1-10-36.avi,[NONE],[NONE],[NONE]
"if you do it correctly, there should be a nice little septum here between right and left SV",09:48:03,1,c1_s0_1-10-38.avi,[NONE],[NONE],"[septum, right Seminal Vesicle, left Seminal Vesicle]"
good,09:48:08,1,c1_s0_1-10-43.avi,[NONE],[NONE],[NONE]
"okay, so grab that",09:48:10,1,c1_s0_1-10-45.avi,[NONE],[grab],[NONE]
good,09:48:15,1,c1_s0_1-10-50.avi,[NONE],[NONE],[NONE]
"get the medial stuff first, all the medial stuff first; don't worry about the lateral stuff yet",09:48:25,1,c1_s0_1-11-0.avi,[NONE],"[get first, don't worry]",[NONE]
"so what you just bipolared and what you cut was nearly the same spot, you want to give yourself a little bit more wiggle room, right?",09:48:39,1,c1_s0_1-11-14.avi,[bipolar],[give yourself a little bit more wiggle room],[NONE]
"so whatever you burn, you want to cut just above that",09:48:48,1,c1_s0_1-11-23.avi,"[electrocautery, scissors]",[cut just above],[NONE]
"be gentle, you don't rip that off",09:49:15,1,c1_s0_1-11-50.avi,[NONE],[be gentle],[NONE]
"alright, do you remember how I hold the SV's up?",09:50:19,1,c1_s0_1-12-54.avi,[NONE],[NONE],[Seminal Vesicles]
uh-huh... so I grab just the tip,09:50:27,1,c1_s0_1-13-2.avi,[NONE],[NONE],[NONE]
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",09:50:29,1,c1_s0_1-13-4.avi,[NONE],"[hold on, grab, leave room]","[Seminal Vesicles, Seminal Vesicles]"
all the way in,09:50:36,1,c1_s0_1-13-11.avi,[NONE],[NONE],[NONE]
"yeah... sort of, kind of",09:50:40,1,c1_s0_1-13-15.avi,[NONE],[NONE],[NONE]
just the tip.. just the tip,09:50:44,1,c1_s0_1-13-19.avi,[NONE],[NONE],[NONE]
"that's too much, you're going to have no room... okay",09:50:46,1,c1_s0_1-13-21.avi,[NONE],[NONE],[NONE]
can I just do it? let me show you how I do it,09:50:49,1,c1_s0_1-13-24.avi,[NONE],[NONE],[NONE]
that looks pretty good,09:52:17,1,c1_s0_1-14-52.avi,[NONE],[NONE],[NONE]
mhm,09:52:33,1,c1_s0_1-15-8.avi,[NONE],[NONE],[NONE]
"uh I think it's okay, it's opening up nicely... I think we're good",09:52:35,1,c1_s0_1-15-10.avi,[NONE],[NONE],[NONE]
"so if you think you're in the right spot, the one thing to do is extend the sides, open that up, because you don't want to be in a hole... so just open it up as wide as it will go, it'll make the distal part easier",09:52:40,1,c1_s0_1-15-15.avi,[NONE],"[extend, open, open]",[NONE]
good,09:52:57,1,c1_s0_1-15-32.avi,[NONE],[NONE],[NONE]
"so generally, I like to extend distally with the left hand and just spread up and down",09:53:13,1,c1_s0_1-15-48.avi,[left hand],"[extend distally, spread up and down]",[NONE]
"okay, can I show you?",09:53:25,1,c1_s0_1-16-0.avi,[NONE],[NONE],[NONE]
uh I wouldn't do that... it's just going to bleed and then be annoying,09:54:22,1,c1_s0_1-16-57.avi,[NONE],[NONE],[NONE]
"uh if anything, I would want to stay short of how far you want to go distally, because you don't want to get to the rectourethralis muscle",09:54:26,1,c1_s0_1-17-1.avi,[NONE],[stay short of how far you want to go distally],[rectourethralis muscle]
"and compromise... you don't know where to stop distally, right?",09:54:34,1,c1_s0_1-17-9.avi,[NONE],[NONE],[NONE]
so I would just stop short of where you think you probably would want to be,09:54:39,1,c1_s0_1-17-14.avi,[NONE],[stop short],[NONE]
"so I think you're probably actually good there, okay?",09:54:42,1,c1_s0_1-17-17.avi,[NONE],[NONE],[NONE]
"alright, nice job",09:54:45,1,c1_s0_1-17-20.avi,[NONE],[NONE],[NONE]
"so if you could imagine the prostate running like that, right?",10:16:34,1,c1_s0_1-39-9.avi,[NONE],[NONE],[prostate]
so you don't want to put your first clips too low,10:16:42,1,c1_s0_1-39-17.avi,[clips],[avoid placing too low],[NONE]
so I would stay on the slightly higher side and you can take that lateral piece first with a clip,10:16:47,1,c1_s0_1-39-22.avi,[clip],"[stay on the slightly higher side, take that lateral piece first]",[NONE]
"yeah, take it there just so you can start narrowing yourself down",10:16:55,1,c1_s0_1-39-30.avi,[NONE],"[take, start narrowing]",[NONE]
okay,10:17:29,1,c1_s0_1-40-4.avi,[NONE],[NONE],[NONE]
take that away,10:17:46,1,c1_s0_1-40-21.avi,[NONE],[take away],[NONE]
"that should be proper specimen, don't just...",10:17:50,1,c1_s0_1-40-25.avi,[NONE],[NONE],[NONE]
"just be gentle with that, don't retract too much... you're going to tear it off",10:17:58,1,c1_s0_1-40-33.avi,[NONE],"[be gentle, don't retract too much]",[NONE]
is that left or right ascending,10:18:07,1,c1_s0_1-40-42.avi,[NONE],[NONE],[NONE]
okay,10:18:11,1,c1_s0_1-40-46.avi,[NONE],[NONE],[NONE]
"so I wouldn't quite grab what you had there yet, I don't think that's going to be helpful yet",10:18:18,1,c1_s0_1-40-53.avi,[NONE],[NONE],[NONE]
"so find if the thing there you can buzz... if not, because it's pretty low",10:18:27,1,c1_s0_1-41-2.avi,[NONE],[find],[NONE]
"see what's bleeding first, don't just randomly...",10:18:35,1,c1_s0_1-41-10.avi,[retractor],"[see, don't randomly]",[NONE]
bipolar maybe,10:18:43,1,c1_s0_1-41-18.avi,[NONE],[NONE],[NONE]
you're bipolaring the air though,10:18:48,1,c1_s0_1-41-23.avi,[NONE],[NONE],[NONE]
you got two things that are going on here,10:18:58,1,c1_s0_1-41-33.avi,[NONE],[NONE],[NONE]
okay that's not working... everything your poking you're just making more bleeding happen,10:19:07,1,c1_s0_1-41-42.avi,[NONE],[NONE],[NONE]
"so drop the lateral stuff open, you can cut that right there... incise that, just cut it",10:19:14,1,c1_s0_1-41-49.avi,[NONE],"[drop, cut, incise, cut]",[lateral structure]
"cold cut, why do you have to burn it?",10:19:20,1,c1_s0_1-41-55.avi,[NONE],[NONE],[NONE]
okay... okay... okay,10:19:28,1,c1_s0_1-42-3.avi,[NONE],[NONE],[NONE]
okay now you have multiple spots bleeding,10:19:46,1,c1_s0_1-42-21.avi,[NONE],[NONE],[NONE]
"okay, so this is what I would do before you poke another thing and make a bleed",10:19:58,1,c1_s0_1-42-33.avi,[NONE],[NONE],[NONE]
"I would... kind of came down low again, if you can, I would aim back up towards the prostate",10:29:35,1,c1_s0_1-52-10.avi,[NONE],[Aim back up],[prostate]
"I was just trying to get down below the bleeder ooze but then I shifted down, so if anything come closer to the prostate again",10:29:44,1,c1_s0_1-52-19.avi,[NONE],[come closer],"[vein, prostate]"
"just don't rip off the clip, yeah?",10:29:58,1,c1_s0_1-52-33.avi,[retractor],[don't rip off],[NONE]
yeah,10:30:04,1,c1_s0_1-52-39.avi,[NONE],[NONE],[NONE]
"don't buzz blindly, see what's actually bleeding, becaues you could have maybe clipped that on the next clip",10:30:30,1,c1_s0_1-53-5.avi,[NONE],"[don't buzz blindly, see]",[NONE]
"just open up the lateral stuff and see if you can just apply a clip, if you buzz it, you compromise the integrity of the vessel and then it's a different problem",10:30:39,1,c1_s0_1-53-14.avi,[NONE],"[open, apply]","[lateral structure, vessel]"
"that's plenty, that's plenty",10:30:59,1,c1_s0_1-53-34.avi,[NONE],[NONE],[NONE]
"so your vector is not quite right, you're pulling it towards you... I want you to pull it away from the prostate, okay?",10:31:00,1,c1_s0_1-53-35.avi,[NONE],[pull away],[prostate]
slice... good,10:31:09,1,c1_s0_1-53-44.avi,[NONE],[slice],[NONE]
"stay close, stay close",10:31:19,1,c1_s0_1-53-54.avi,[NONE],[stay close],[NONE]
"your leading edge is not there, your leading edge is down here... right there",10:31:21,1,c1_s0_1-53-56.avi,[NONE],[NONE],[NONE]
"no, just stay where you are",10:31:29,1,c1_s0_1-54-4.avi,[NONE],[stay],[NONE]
"you can open that up though, yeah that thing",10:31:37,1,c1_s0_1-54-12.avi,[electrocautery],[open],[NONE]
"open that, yes",10:31:40,1,c1_s0_1-54-15.avi,[NONE],[open],[NONE]
so retraction's not wonderful,10:32:07,1,c1_s0_1-54-42.avi,[electrocautery],[NONE],[NONE]
so that's not perpendicular to your...,10:32:11,1,c1_s0_1-54-46.avi,[electrocautery],[NONE],[NONE]
that's a little bit better,10:32:16,1,c1_s0_1-54-51.avi,[NONE],[NONE],[NONE]
mhm,10:32:43,1,c1_s0_1-55-18.avi,[NONE],[NONE],[NONE]
